Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.25,20.654,1.011,1023,1023,1023
4.36,17.622,-3.032,1023,1023,1023
4.47,18.633,1.011,1022,1023,1023
4.58,19.644,1.011,1023,1023,1023
5.61,18.633,-1.011,1023,1023,1023
5.72,19.644,1.011,1022,1023,1023
6.13,18.633,-1.011,1023,1023,1023
6.25,19.644,1.011,1023,1023,1023
6.46,20.654,1.011,1022,1023,1023
6.57,18.633,-2.021,1023,1023,1023
6.99,19.644,1.011,1023,1023,1022
7.40,18.633,-1.011,1023,1023,1023
7.52,19.644,1.011,1022,1023,1023
7.63,18.633,-1.011,1023,1023,1023
7.84,19.644,1.011,1022,1023,1023
8.36,20.654,1.011,1023,1023,1022
8.57,18.633,-2.021,1023,1023,1023
8.68,20.654,2.021,1022,1023,1023
8.80,19.644,-1.011,1023,1023,1023
9.11,20.654,1.011,1023,1023,1022
9.22,18.633,-2.021,1023,1023,1023
9.34,19.644,1.011,1023,1023,1023
9.85,18.633,-1.011,1022,1023,1023
9.97,19.644,1.011,1023,1023,1023
10.28,20.654,1.011,1023,1023,1022
10.49,19.644,-1.011,1023,1023,1023
11.22,20.654,1.011,900,1022,1023
11.53,21.665,1.011,804,1023,1023
11.74,22.676,1.011,765,1023,1023
11.85,21.665,-1.011,771,1023,1022
12.07,20.654,-1.011,382,1023,1023
12.18,21.665,1.011,385,1023,1023
12.29,20.654,-1.011,429,1023,1023
12.51,21.665,1.011,432,1023,1023
12.62,20.654,-1.011,429,1023,1023
12.73,18.633,-2.021,497,1023,1023
12.85,19.644,1.011,375,1023,1023
12.96,20.654,1.011,360,1022,1023
13.27,19.644,-1.011,380,1023,1023
13.38,20.654,1.011,367,1023,1023
13.50,19.644,-1.011,346,1022,1023
13.61,20.654,1.011,343,1023,1023
13.72,19.644,-1.011,350,1023,1023
13.83,20.654,1.011,337,1023,1023
14.05,21.665,1.011,374,1023,1023
14.16,22.676,1.011,369,1023,1023
14.27,21.665,-1.011,356,1023,1023
14.38,22.676,1.011,346,1023,1023
14.49,23.687,1.011,341,1023,1023
14.71,24.697,1.011,341,1023,1023
14.82,25.708,1.011,340,1023,1023
15.03,26.719,1.011,334,1023,1023
15.25,27.729,1.011,328,1023,1023
15.46,28.740,1.011,316,1023,1023
15.67,30.762,2.021,312,1023,1023
16.09,31.772,1.011,301,1023,1023
16.20,33.794,2.021,298,1023,1023
16.41,34.805,1.011,294,1023,1023
16.62,33.794,-1.011,292,1023,1023
16.94,34.805,1.011,289,1023,1023
17.05,35.815,1.011,288,1023,1023
17.16,34.805,-1.011,288,1023,1023
17.38,35.815,1.011,286,1023,1022
17.89,34.805,-1.011,285,1023,1023
18.01,35.815,1.011,286,1023,1023
18.22,34.805,-1.011,287,1023,1023
18.33,35.815,1.011,289,1022,1023
18.45,33.794,-2.021,289,1023,1023
18.66,34.805,1.011,289,1023,1023
18.87,36.826,2.021,288,1023,1023
19.09,37.837,1.011,284,1023,1023
19.40,38.848,1.011,281,1022,1023
19.82,39.858,1.011,278,1023,1023
19.93,40.869,1.011,276,1023,1023
20.54,41.880,1.011,270,1023,1023
20.66,40.869,-1.011,271,1022,1023
20.77,33.794,-7.075,282,1023,1023
20.88,31.772,-2.021,297,1023,1023
21.00,28.740,-3.032,308,1023,1023
21.11,26.719,-2.021,313,1023,1023
21.22,25.708,-1.011,315,1023,1023
21.33,24.697,-1.011,318,1023,1023
21.45,22.676,-2.021,322,1023,1023
21.76,21.665,-1.011,329,1023,1023
22.18,20.654,-1.011,335,1023,1023
22.60,21.665,1.011,337,1023,1023
22.71,20.654,-1.011,340,1023,1023
23.02,21.665,1.011,337,1023,1023
23.24,20.654,-1.011,339,1023,1023
23.35,21.665,1.011,339,1023,1023
23.46,20.654,-1.011,339,1023,1023
23.78,21.665,1.011,343,1023,1023
24.09,20.654,-1.011,343,1023,1023
24.91,19.644,-1.011,385,1023,1023
25.02,20.654,1.011,463,1022,1023
25.24,19.644,-1.011,1020,1023,1023
25.55,20.654,1.011,1020,1023,1023
25.67,19.644,-1.011,1020,1023,1023
25.78,20.654,1.011,1021,1023,1023
26.00,19.644,-1.011,1021,1023,1023
26.21,20.654,1.011,1021,1023,1023
26.42,19.644,-1.011,1021,1023,1023
26.64,20.654,1.011,1021,1023,1023
26.95,19.644,-1.011,1021,1023,1023
27.07,20.654,1.011,1021,1022,1023
27.18,19.644,-1.011,1022,1023,1023
27.50,20.654,1.011,1022,1023,1023
28.12,19.644,-1.011,1023,1023,1023
28.23,20.654,1.011,1022,1023,1023
28.34,19.644,-1.011,1023,1023,1023
28.46,20.654,1.011,1022,1023,1023
28.57,19.644,-1.011,1023,1023,1023
28.99,20.654,1.011,1023,1023,1022
29.30,19.644,-1.011,1022,1023,1023
29.82,21.665,2.021,818,1023,1023
30.03,22.676,1.011,292,1023,1023
30.15,23.687,1.011,328,1023,1023
30.26,22.676,-1.011,337,1022,1023
30.37,23.687,1.011,336,1023,1023
30.48,24.697,1.011,335,1023,1023
30.80,26.719,2.021,325,1023,1023
31.11,27.729,1.011,312,1023,1023
31.22,28.740,1.011,311,1022,1023
31.44,29.751,1.011,305,1023,1023
31.55,31.772,2.021,299,1023,1023
31.66,30.762,-1.011,296,1023,1023
31.77,33.794,3.032,294,1023,1023
32.19,32.783,-1.011,289,1023,1022
32.30,33.794,1.011,288,1023,1023
32.41,34.805,1.011,287,1023,1023
32.83,35.815,1.011,285,1023,1023
32.94,33.794,-2.021,284,1023,1023
33.05,35.815,2.021,283,1023,1023
33.27,36.826,1.011,282,1022,1023
33.48,35.815,-1.011,280,1023,1023
33.59,36.826,1.011,280,1023,1023
33.81,37.837,1.011,279,1022,1023
34.42,39.858,2.021,274,1023,1023
34.54,38.848,-1.011,275,1023,1023
34.75,37.837,-1.011,275,1023,1023
34.86,39.858,2.021,275,1022,1023
34.97,38.848,-1.011,273,1023,1023
35.19,40.869,2.021,270,1023,1023
35.30,39.858,-1.011,270,1023,1023
35.41,38.848,-1.011,270,1023,1023
35.53,39.858,1.011,269,1023,1023
35.64,40.869,1.011,269,1023,1023
36.26,41.880,1.011,263,1023,1023
36.77,42.891,1.011,259,1023,1023
36.99,40.869,-2.021,263,1023,1023
37.10,34.805,-6.064,279,1023,1023
37.21,31.772,-3.032,294,1023,1023
37.32,28.740,-3.032,306,1023,1023
37.44,24.697,-4.043,318,1023,1023
37.55,23.687,-1.011,322,1023,1023
37.77,22.676,-1.011,332,1022,1023
37.88,21.665,-1.011,335,1023,1023
38.19,20.654,-1.011,340,1023,1023
38.51,19.644,-1.011,359,1023,1023
38.62,20.654,1.011,361,1023,1023
38.83,19.644,-1.011,365,1023,1023
39.05,18.633,-1.011,375,1022,1023
39.16,19.644,1.011,1020,1023,1023
39.27,20.654,1.011,1020,1023,1023
39.39,19.644,-1.011,1020,1023,1023
39.70,20.654,1.011,1021,1023,1022
39.82,18.633,-2.021,1021,1023,1023
40.03,19.644,1.011,1021,1022,1023
40.25,20.654,1.011,1021,1023,1023
40.36,19.644,-1.011,1021,1023,1023
40.68,20.654,1.011,1021,1023,1023
40.79,19.644,-1.011,1021,1023,1023
41.71,20.654,1.011,1022,1023,1022
41.93,19.644,-1.011,1022,1022,1023
42.14,20.654,1.011,1022,1023,1023
42.25,19.644,-1.011,1023,1023,1023
42.77,20.654,1.011,1022,1023,1023
42.99,19.644,-1.011,1021,1023,1023
43.10,20.654,1.011,1022,1023,1023
43.21,19.644,-1.011,1022,1023,1023
43.33,20.654,1.011,1022,1023,1023
43.64,21.665,1.011,1023,1023,1023
43.76,20.654,-1.011,900,1023,1023
43.87,22.676,2.021,805,1023,1023
44.28,23.687,1.011,742,1023,1023
44.40,25.708,2.021,326,1022,1023
44.51,24.697,-1.011,363,1022,1023
44.62,26.719,2.021,360,1023,1023
44.73,25.708,-1.011,355,1023,1023
44.85,27.729,2.021,350,1023,1023
45.06,28.740,1.011,338,1023,1023
45.17,29.751,1.011,334,1022,1023
45.28,28.740,-1.011,331,1023,1023
45.50,30.762,2.021,324,1023,1023
45.81,32.783,2.021,313,1023,1023
46.02,33.794,1.011,311,1023,1023
46.13,32.783,-1.011,309,1023,1023
46.25,33.794,1.011,307,1023,1023
46.46,34.805,1.011,306,1023,1023
46.57,35.815,1.011,305,1023,1023
46.89,36.826,1.011,300,1022,1023
47.10,38.848,2.021,295,1023,1023
47.42,39.858,1.011,291,1023,1023
47.53,40.869,1.011,289,1022,1023
47.74,39.858,-1.011,289,1023,1023
47.85,40.869,1.011,288,1023,1023
48.37,38.848,-2.021,284,1023,1023
48.48,40.869,2.021,285,1022,1023
48.59,39.858,-1.011,285,1023,1023
48.71,35.815,-4.043,293,1023,1023
48.82,32.783,-3.032,306,1022,1023
48.93,29.751,-3.032,317,1022,1023
49.04,28.740,-1.011,322,1023,1023
49.16,26.719,-2.021,333,1023,1023
49.27,23.687,-3.032,347,1023,1023
49.38,22.676,-1.011,352,1023,1023
49.50,23.687,1.011,357,1023,1023
49.61,22.676,-1.011,361,1023,1023
49.72,21.665,-1.011,371,1023,1023
49.84,22.676,1.011,377,1023,1023
49.95,20.654,-2.021,380,1023,1023
50.36,19.644,-1.011,395,1023,1023
50.48,20.654,1.011,396,1023,1023
50.69,21.665,1.011,398,1023,1023
50.80,20.654,-1.011,400,1023,1023
51.72,21.665,1.011,429,1023,1023
51.84,20.654,-1.011,441,1023,1023
51.95,21.665,1.011,618,1023,1023
52.16,20.654,-1.011,1021,1023,1023
52.28,21.665,1.011,1021,1022,1023
52.39,20.654,-1.011,1019,1023,1023
52.50,21.665,1.011,730,1023,1023
52.72,19.644,-2.021,1021,1022,1023
52.83,20.654,1.011,1022,1022,1023
52.94,19.644,-1.011,1022,1023,1023
53.06,20.654,1.011,1022,1022,1023
53.27,19.644,-1.011,1021,1023,1023
53.69,20.654,1.011,1022,1023,1023
54.21,22.676,2.021,802,1023,1023
54.42,23.687,1.011,334,1023,1023
54.53,24.697,1.011,304,1023,1023
54.64,25.708,1.011,295,1023,1023
54.75,27.729,2.021,283,1023,1023
54.87,28.740,1.011,275,1022,1023
55.08,29.751,1.011,269,1023,1023
55.19,30.762,1.011,268,1023,1023
55.30,32.783,2.021,266,1023,1022
