Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.25,20.654,1.011,1022,1023,1023
4.36,19.644,-1.011,1023,1023,1023
4.47,20.654,1.011,1023,1022,1023
4.58,19.644,-1.011,1022,1022,1023
4.90,20.654,1.011,1023,1022,1023
5.01,19.644,-1.011,1022,1023,1023
5.12,20.654,1.011,1022,1022,1023
5.23,19.644,-1.011,1022,1022,1023
5.35,20.654,1.011,1022,1022,1023
5.56,19.644,-1.011,1022,1022,1023
5.67,20.654,1.011,1022,1023,1023
5.78,19.644,-1.011,1023,1022,1023
6.30,21.665,2.021,1022,1023,1023
6.41,20.654,-1.011,1023,928,1022
6.53,22.676,2.021,1023,544,1022
6.64,23.687,1.011,1022,481,1023
6.85,24.697,1.011,1022,437,1023
6.96,25.708,1.011,1023,410,1022
7.07,26.719,1.011,1022,404,1023
7.28,25.708,-1.011,1022,410,1023
7.39,26.719,1.011,1022,414,1023
7.50,25.708,-1.011,1023,423,1023
7.62,26.719,1.011,1022,413,1022
7.73,25.708,-1.011,1022,404,1023
7.84,26.719,1.011,1022,397,1023
7.95,27.729,1.011,1022,393,1023
8.16,28.740,1.011,1023,386,1022
8.27,27.729,-1.011,1022,381,1022
8.38,28.740,1.011,1023,375,1023
8.80,29.751,1.011,1023,356,1022
9.11,28.740,-1.011,1022,358,1022
9.22,29.751,1.011,1023,361,1023
9.33,28.740,-1.011,1022,357,1023
9.45,29.751,1.011,1023,362,1022
9.66,28.740,-1.011,1022,359,1023
9.77,29.751,1.011,1022,363,1022
9.88,28.740,-1.011,1022,366,1023
10.50,29.751,1.011,1022,355,1022
10.71,30.762,1.011,1022,349,1023
11.03,31.772,1.011,1022,340,1022
11.14,32.783,1.011,1022,330,1022
11.25,31.772,-1.011,1022,330,1023
11.46,32.783,1.011,1023,330,1022
11.58,30.762,-2.021,1023,332,1023
11.69,31.772,1.011,1022,333,1022
11.80,30.762,-1.011,1022,334,1022
12.02,31.772,1.011,1023,326,1023
12.53,32.783,1.011,1022,320,1023
12.64,33.794,1.011,1022,312,1022
12.96,32.783,-1.011,1022,307,1022
13.37,30.762,-2.021,1022,350,1022
13.49,28.740,-2.021,1022,383,1022
13.60,26.719,-2.021,1023,386,1022
13.71,28.740,2.021,1022,368,1023
14.03,27.729,-1.011,1022,365,1022
14.14,26.719,-1.011,1022,390,1022
14.25,27.729,1.011,1023,375,1023
