timestamped_line
"[16:09:12] Ready. Type 's' to start logging, 'e' to stop."
[16:09:12] Sensor Info:
[16:09:12] Sensor ID: 50
[16:09:12] Sensor Name: FORCE PLATE 850
[16:09:12] Units: N
[16:09:12] ▶️ START LOGGING
"[16:09:12] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[16:09:12] 4.25, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:09:12] 4.36, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:09:12] 4.47, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[16:09:13] 4.58, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 1023"
"[16:09:13] 4.90, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[16:09:13] 5.01, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:09:13] 5.12, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 1023"
"[16:09:13] 5.23, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 1023"
"[16:09:13] 5.35, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 1023"
"[16:09:14] 5.56, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 1023"
"[16:09:14] 5.67, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:09:14] 5.78, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[16:09:14] 6.30, Force(N): 21.665, ΔF(N): 2.021, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:09:14] 6.41, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1023, FSR2: 928, FSR3: 1022"
"[16:09:15] 6.53, Force(N): 22.676, ΔF(N): 2.021, FSR1: 1023, FSR2: 544, FSR3: 1022"
"[16:09:15] 6.64, Force(N): 23.687, ΔF(N): 1.011, FSR1: 1022, FSR2: 481, FSR3: 1023"
"[16:09:15] 6.85, Force(N): 24.697, ΔF(N): 1.011, FSR1: 1022, FSR2: 437, FSR3: 1023"
"[16:09:15] 6.96, Force(N): 25.708, ΔF(N): 1.011, FSR1: 1023, FSR2: 410, FSR3: 1022"
"[16:09:15] 7.07, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1022, FSR2: 404, FSR3: 1023"
"[16:09:15] 7.28, Force(N): 25.708, ΔF(N): -1.011, FSR1: 1022, FSR2: 410, FSR3: 1023"
"[16:09:15] 7.39, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1022, FSR2: 414, FSR3: 1023"
"[16:09:15] 7.50, Force(N): 25.708, ΔF(N): -1.011, FSR1: 1023, FSR2: 423, FSR3: 1023"
"[16:09:16] 7.62, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1022, FSR2: 413, FSR3: 1022"
"[16:09:16] 7.73, Force(N): 25.708, ΔF(N): -1.011, FSR1: 1022, FSR2: 404, FSR3: 1023"
"[16:09:16] 7.84, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1022, FSR2: 397, FSR3: 1023"
"[16:09:16] 7.95, Force(N): 27.729, ΔF(N): 1.011, FSR1: 1022, FSR2: 393, FSR3: 1023"
"[16:09:16] 8.16, Force(N): 28.740, ΔF(N): 1.011, FSR1: 1023, FSR2: 386, FSR3: 1022"
"[16:09:16] 8.27, Force(N): 27.729, ΔF(N): -1.011, FSR1: 1022, FSR2: 381, FSR3: 1022"
"[16:09:16] 8.38, Force(N): 28.740, ΔF(N): 1.011, FSR1: 1023, FSR2: 375, FSR3: 1023"
"[16:09:17] 8.80, Force(N): 29.751, ΔF(N): 1.011, FSR1: 1023, FSR2: 356, FSR3: 1022"
"[16:09:17] 9.11, Force(N): 28.740, ΔF(N): -1.011, FSR1: 1022, FSR2: 358, FSR3: 1022"
"[16:09:17] 9.22, Force(N): 29.751, ΔF(N): 1.011, FSR1: 1023, FSR2: 361, FSR3: 1023"
"[16:09:17] 9.33, Force(N): 28.740, ΔF(N): -1.011, FSR1: 1022, FSR2: 357, FSR3: 1023"
"[16:09:17] 9.45, Force(N): 29.751, ΔF(N): 1.011, FSR1: 1023, FSR2: 362, FSR3: 1022"
"[16:09:18] 9.66, Force(N): 28.740, ΔF(N): -1.011, FSR1: 1022, FSR2: 359, FSR3: 1023"
"[16:09:18] 9.77, Force(N): 29.751, ΔF(N): 1.011, FSR1: 1022, FSR2: 363, FSR3: 1022"
"[16:09:18] 9.88, Force(N): 28.740, ΔF(N): -1.011, FSR1: 1022, FSR2: 366, FSR3: 1023"
"[16:09:18] 10.50, Force(N): 29.751, ΔF(N): 1.011, FSR1: 1022, FSR2: 355, FSR3: 1022"
"[16:09:19] 10.71, Force(N): 30.762, ΔF(N): 1.011, FSR1: 1022, FSR2: 349, FSR3: 1023"
"[16:09:19] 11.03, Force(N): 31.772, ΔF(N): 1.011, FSR1: 1022, FSR2: 340, FSR3: 1022"
"[16:09:19] 11.14, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1022, FSR2: 330, FSR3: 1022"
"[16:09:19] 11.25, Force(N): 31.772, ΔF(N): -1.011, FSR1: 1022, FSR2: 330, FSR3: 1023"
"[16:09:19] 11.46, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1023, FSR2: 330, FSR3: 1022"
"[16:09:20] 11.58, Force(N): 30.762, ΔF(N): -2.021, FSR1: 1023, FSR2: 332, FSR3: 1023"
"[16:09:20] 11.69, Force(N): 31.772, ΔF(N): 1.011, FSR1: 1022, FSR2: 333, FSR3: 1022"
"[16:09:20] 11.80, Force(N): 30.762, ΔF(N): -1.011, FSR1: 1022, FSR2: 334, FSR3: 1022"
"[16:09:20] 12.02, Force(N): 31.772, ΔF(N): 1.011, FSR1: 1023, FSR2: 326, FSR3: 1023"
"[16:09:21] 12.53, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1022, FSR2: 320, FSR3: 1023"
"[16:09:21] 12.64, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1022, FSR2: 312, FSR3: 1022"
"[16:09:21] 12.96, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1022, FSR2: 307, FSR3: 1022"
"[16:09:21] 13.37, Force(N): 30.762, ΔF(N): -2.021, FSR1: 1022, FSR2: 350, FSR3: 1022"
"[16:09:21] 13.49, Force(N): 28.740, ΔF(N): -2.021, FSR1: 1022, FSR2: 383, FSR3: 1022"
"[16:09:22] 13.60, Force(N): 26.719, ΔF(N): -2.021, FSR1: 1023, FSR2: 386, FSR3: 1022"
"[16:09:22] 13.71, Force(N): 28.740, ΔF(N): 2.021, FSR1: 1022, FSR2: 368, FSR3: 1023"
"[16:09:22] 14.03, Force(N): 27.729, ΔF(N): -1.011, FSR1: 1022, FSR2: 365, FSR3: 1022"
"[16:09:22] 14.14, Force(N): 26.719, ΔF(N): -1.011, FSR1: 1022, FSR2: 390, FSR3: 1022"
"[16:09:22] 14.25, Force(N): 27.729, ΔF(N): 1.011, FSR1: 1023, FSR2: 375, FSR3: 1023"
"[16:09:22] 14.36, Force(N): 26.719, ΔF(N): -1.011, FSR1: 1022, FSR2: 344, FSR3: 1023"
"[16:09:22] 14.48, Force(N): 28.740, ΔF(N): 2.021, FSR1: 1022, FSR2: 320, FSR3: 1022"
"[16:09:23] 14.59, Force(N): 30.762, ΔF(N): 2.021, FSR1: 1022, FSR2: 315, FSR3: 1023"
"[16:09:23] 14.70, Force(N): 31.772, ΔF(N): 1.011, FSR1: 1022, FSR2: 296, FSR3: 1023"
"[16:09:23] 15.02, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1022, FSR2: 288, FSR3: 1022"
"[16:09:23] 15.13, Force(N): 31.772, ΔF(N): -1.011, FSR1: 1022, FSR2: 291, FSR3: 1022"
"[16:09:23] 15.24, Force(N): 30.762, ΔF(N): -1.011, FSR1: 1023, FSR2: 291, FSR3: 1023"
"[16:09:23] 15.46, Force(N): 31.772, ΔF(N): 1.011, FSR1: 1022, FSR2: 292, FSR3: 1023"
"[16:09:24] 15.57, Force(N): 29.751, ΔF(N): -2.021, FSR1: 1022, FSR2: 303, FSR3: 1023"
"[16:09:24] 15.78, Force(N): 30.762, ΔF(N): 1.011, FSR1: 1022, FSR2: 293, FSR3: 1023"
"[16:09:24] 16.50, Force(N): 31.772, ΔF(N): 1.011, FSR1: 1022, FSR2: 281, FSR3: 1022"
"[16:09:25] 16.71, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1023, FSR2: 272, FSR3: 1023"
"[16:09:25] 16.82, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1022, FSR2: 267, FSR3: 1022"
"[16:09:25] 17.04, Force(N): 34.805, ΔF(N): 1.011, FSR1: 1022, FSR2: 265, FSR3: 1023"
"[16:09:26] 17.86, Force(N): 35.815, ΔF(N): 1.011, FSR1: 1023, FSR2: 258, FSR3: 1022"
"[16:09:26] 18.07, Force(N): 36.826, ΔF(N): 1.011, FSR1: 1022, FSR2: 256, FSR3: 1022"
"[16:09:26] 18.18, Force(N): 38.848, ΔF(N): 2.021, FSR1: 1022, FSR2: 254, FSR3: 1023"
"[16:09:26] 18.29, Force(N): 37.837, ΔF(N): -1.011, FSR1: 1022, FSR2: 256, FSR3: 1022"
"[16:09:27] 18.81, Force(N): 36.826, ΔF(N): -1.011, FSR1: 1023, FSR2: 255, FSR3: 1023"
"[16:09:27] 18.92, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1022, FSR2: 255, FSR3: 1022"
"[16:09:27] 19.04, Force(N): 36.826, ΔF(N): -1.011, FSR1: 1022, FSR2: 256, FSR3: 1023"
"[16:09:27] 19.15, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1023, FSR2: 255, FSR3: 1022"
"[16:09:27] 19.36, Force(N): 38.848, ΔF(N): 1.011, FSR1: 1022, FSR2: 253, FSR3: 1023"
"[16:09:28] 19.78, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 252, FSR3: 1022"
"[16:09:28] 20.09, Force(N): 40.869, ΔF(N): 1.011, FSR1: 1023, FSR2: 251, FSR3: 1022"
"[16:09:28] 20.20, Force(N): 39.858, ΔF(N): -1.011, FSR1: 1023, FSR2: 252, FSR3: 1022"
"[16:09:29] 20.52, Force(N): 40.869, ΔF(N): 1.011, FSR1: 1022, FSR2: 250, FSR3: 1022"
"[16:09:29] 20.73, Force(N): 39.858, ΔF(N): -1.011, FSR1: 1022, FSR2: 251, FSR3: 1022"
"[16:09:29] 21.05, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1022, FSR2: 250, FSR3: 1022"
"[16:09:29] 21.16, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1022, FSR2: 250, FSR3: 1023"
"[16:09:29] 21.37, Force(N): 35.815, ΔF(N): -4.043, FSR1: 1022, FSR2: 265, FSR3: 1022"
"[16:09:29] 21.49, Force(N): 31.772, ΔF(N): -4.043, FSR1: 1022, FSR2: 308, FSR3: 1023"
"[16:09:30] 21.60, Force(N): 28.740, ΔF(N): -3.032, FSR1: 1022, FSR2: 351, FSR3: 1022"
"[16:09:30] 21.81, Force(N): 26.719, ΔF(N): -2.021, FSR1: 1022, FSR2: 429, FSR3: 1022"
"[16:09:30] 21.93, Force(N): 24.697, ΔF(N): -2.021, FSR1: 1023, FSR2: 494, FSR3: 1023"
"[16:09:30] 22.24, Force(N): 23.687, ΔF(N): -1.011, FSR1: 1022, FSR2: 520, FSR3: 1023"
"[16:09:30] 22.46, Force(N): 22.676, ΔF(N): -1.011, FSR1: 1022, FSR2: 549, FSR3: 1023"
