timestamped_line
"[15:55:22] Ready. Type 's' to start logging, 'e' to stop."
[15:55:22] Sensor Info:
[15:55:22] Sensor ID: 50
[15:55:22] Sensor Name: FORCE PLATE 850
[15:55:22] Units: N
[15:55:22] ▶️ START LOGGING
"[15:55:22] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:55:23] 4.85, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1020, FSR2: 1023, FSR3: 1023"
"[15:55:23] 5.17, Force(N): 17.622, ΔF(N): -2.021, FSR1: 1021, FSR2: 1022, FSR3: 1023"
"[15:55:23] 5.28, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1020, FSR2: 1023, FSR3: 1023"
"[15:55:24] 5.59, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1021, FSR2: 1022, FSR3: 1023"
"[15:55:24] 5.81, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1021, FSR2: 1023, FSR3: 1023"
"[15:55:24] 5.92, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1020, FSR2: 1023, FSR3: 1023"
"[15:55:24] 6.03, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1020, FSR2: 1022, FSR3: 1023"
"[15:55:24] 6.35, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1021, FSR2: 1023, FSR3: 1023"
"[15:55:24] 6.46, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1021, FSR2: 1023, FSR3: 1023"
"[15:55:25] 6.57, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1020, FSR2: 1023, FSR3: 1023"
"[15:55:25] 6.69, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1020, FSR2: 1022, FSR3: 1023"
"[15:55:25] 7.10, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1021, FSR2: 1022, FSR3: 1022"
"[15:55:25] 7.31, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1020, FSR2: 1022, FSR3: 1023"
"[15:55:26] 7.63, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1021, FSR2: 1022, FSR3: 1023"
"[15:55:26] 7.74, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1021, FSR2: 1022, FSR3: 1022"
"[15:55:26] 8.26, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1020, FSR2: 1022, FSR3: 1022"
"[15:55:27] 8.67, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1020, FSR2: 1022, FSR3: 1022"
"[15:55:27] 8.79, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1020, FSR2: 1022, FSR3: 1022"
"[15:55:27] 8.90, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1021, FSR2: 1023, FSR3: 1022"
"[15:55:27] 9.52, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1020, FSR2: 1023, FSR3: 1023"
"[15:55:28] 10.03, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1021, FSR2: 1022, FSR3: 1023"
"[15:55:28] 10.25, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1021, FSR2: 1022, FSR3: 1023"
"[15:55:28] 10.46, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1020, FSR2: 1023, FSR3: 1023"
"[15:55:29] 10.68, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1022"
"[15:55:29] 10.79, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1021, FSR2: 1022, FSR3: 1022"
"[15:55:29] 10.90, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1021, FSR2: 1022, FSR3: 1022"
"[15:55:29] 11.02, Force(N): 19.644, ΔF(N): 2.021, FSR1: 1021, FSR2: 1023, FSR3: 1023"
"[15:55:29] 11.33, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1020, FSR2: 1022, FSR3: 1023"
"[15:55:29] 11.45, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1021, FSR2: 1023, FSR3: 1023"
"[15:55:30] 11.66, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:55:30] 12.08, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 1022"
"[15:55:30] 12.19, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1022"
"[15:55:30] 12.31, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 1023"
"[15:55:30] 12.52, Force(N): 18.633, ΔF(N): -1.011, FSR1: 936, FSR2: 1022, FSR3: 1023"
"[15:55:31] 12.63, Force(N): 19.644, ΔF(N): 1.011, FSR1: 955, FSR2: 1023, FSR3: 1022"
"[15:55:31] 12.75, Force(N): 20.654, ΔF(N): 1.011, FSR1: 915, FSR2: 1023, FSR3: 1023"
"[15:55:31] 13.16, Force(N): 21.665, ΔF(N): 1.011, FSR1: 870, FSR2: 1023, FSR3: 1023"
"[15:55:31] 13.27, Force(N): 20.654, ΔF(N): -1.011, FSR1: 881, FSR2: 1022, FSR3: 1022"
"[15:55:31] 13.39, Force(N): 22.676, ΔF(N): 2.021, FSR1: 841, FSR2: 1023, FSR3: 1023"
"[15:55:31] 13.50, Force(N): 21.665, ΔF(N): -1.011, FSR1: 847, FSR2: 1023, FSR3: 1023"
"[15:55:32] 13.61, Force(N): 22.676, ΔF(N): 1.011, FSR1: 828, FSR2: 1023, FSR3: 1023"
"[15:55:32] 13.72, Force(N): 21.665, ΔF(N): -1.011, FSR1: 822, FSR2: 1023, FSR3: 1022"
"[15:55:32] 13.84, Force(N): 22.676, ΔF(N): 1.011, FSR1: 780, FSR2: 1023, FSR3: 1022"
"[15:55:32] 14.05, Force(N): 23.687, ΔF(N): 1.011, FSR1: 707, FSR2: 1023, FSR3: 1022"
"[15:55:32] 14.16, Force(N): 24.697, ΔF(N): 1.011, FSR1: 667, FSR2: 1023, FSR3: 1023"
"[15:55:32] 14.37, Force(N): 26.719, ΔF(N): 2.021, FSR1: 642, FSR2: 1023, FSR3: 1023"
