Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.25,18.633,-1.011,1023,1023,1023
4.36,19.644,1.011,1022,1022,1023
5.38,18.633,-1.011,1023,1023,1023
5.80,19.644,1.011,1023,1023,1023
6.62,18.633,-1.011,1023,1023,1022
6.73,19.644,1.011,1023,1023,1023
6.84,18.633,-1.011,1022,1023,1023
6.96,19.644,1.011,1023,1023,1022
7.07,18.633,-1.011,1022,1023,1023
7.18,19.644,1.011,1023,1023,1023
7.29,18.633,-1.011,1022,1022,1023
7.51,19.644,1.011,1023,1023,1023
7.62,18.633,-1.011,1023,1023,1023
7.83,19.644,1.011,1023,1022,1023
8.05,18.633,-1.011,1022,1023,1023
8.46,19.644,1.011,1022,1023,1023
8.57,18.633,-1.011,1023,1023,1023
8.69,20.654,2.021,1023,1023,1023
8.80,21.665,1.011,1022,1023,1023
9.01,22.676,1.011,803,1023,1023
9.22,23.687,1.011,783,1023,1023
9.44,24.697,1.011,787,1022,1023
9.55,23.687,-1.011,747,1022,1023
9.66,24.697,1.011,734,1023,1023
10.07,23.687,-1.011,747,1023,1023
10.39,24.697,1.011,814,1023,1023
10.50,25.708,1.011,787,1022,1023
10.61,24.697,-1.011,722,1022,1023
10.72,25.708,1.011,710,1023,1023
10.84,27.729,2.021,694,1023,1023
11.05,28.740,1.011,620,1023,1023
11.16,29.751,1.011,618,1023,1023
11.27,30.762,1.011,607,1023,1023
11.38,31.772,1.011,600,1022,1023
11.60,32.783,1.011,457,1023,1023
11.81,31.772,-1.011,420,1023,1023
11.92,33.794,2.021,400,1023,1022
12.04,32.783,-1.011,391,1023,1023
12.15,33.794,1.011,383,1023,1023
12.26,35.815,2.021,380,1023,1022
12.57,36.826,1.011,338,1023,1023
12.79,35.815,-1.011,331,1022,1023
13.10,36.826,1.011,330,1023,1023
13.52,37.837,1.011,324,1023,1023
13.63,38.848,1.011,322,1023,1023
14.15,39.858,1.011,301,1023,1022
14.46,40.869,1.011,293,1022,1023
14.57,39.858,-1.011,293,1022,1023
14.69,41.880,2.021,291,1023,1023
15.00,42.891,1.011,287,1023,1023
15.11,41.880,-1.011,286,1023,1022
15.22,42.891,1.011,286,1023,1023
15.44,43.901,1.011,277,1022,1023
15.65,45.923,2.021,274,1023,1023
15.76,43.901,-2.021,277,1022,1023
15.88,37.837,-6.064,307,1022,1023
15.99,30.762,-7.075,336,1022,1023
16.10,27.729,-3.032,352,1023,1023
16.21,25.708,-2.021,423,1023,1023
16.33,23.687,-2.021,817,1023,1023
16.54,21.665,-2.021,893,1023,1023
16.96,20.654,-1.011,1023,1023,1022
17.27,19.644,-1.011,1022,1023,1023
17.39,20.654,1.011,1022,1023,1023
17.50,18.633,-2.021,1022,1023,1023
17.61,19.644,1.011,1022,1022,1023
17.93,18.633,-1.011,1023,1023,1023
18.04,19.644,1.011,1023,1023,1023
18.16,18.633,-1.011,1022,1023,1023
18.27,19.644,1.011,1022,1022,1023
18.59,20.654,1.011,1023,1022,1023
18.90,21.665,1.011,968,1022,1023
19.11,22.676,1.011,843,1022,1023
19.43,23.687,1.011,787,1023,1023
19.54,24.697,1.011,747,1022,1023
19.75,26.719,2.021,448,1023,1023
19.97,27.729,1.011,372,1023,1023
20.18,28.740,1.011,350,1023,1023
20.70,29.751,1.011,346,1023,1023
20.81,30.762,1.011,350,1023,1023
20.92,29.751,-1.011,342,1023,1023
21.13,30.762,1.011,335,1023,1023
21.35,31.772,1.011,336,1023,1023
21.56,32.783,1.011,335,1023,1023
21.77,33.794,1.011,331,1023,1023
21.88,34.805,1.011,329,1023,1023
22.00,35.815,1.011,327,1022,1023
22.21,37.837,2.021,326,1022,1023
22.32,36.826,-1.011,325,1023,1023
22.43,37.837,1.011,320,1023,1023
22.55,38.848,1.011,320,1023,1022
22.66,36.826,-2.021,321,1023,1023
22.77,38.848,2.021,312,1022,1023
23.19,39.858,1.011,300,1022,1023
23.50,40.869,1.011,298,1022,1023
23.61,41.880,1.011,294,1023,1023
23.72,40.869,-1.011,294,1023,1023
23.84,41.880,1.011,290,1022,1023
23.95,42.891,1.011,290,1023,1023
24.06,41.880,-1.011,291,1023,1023
24.27,40.869,-1.011,297,1023,1023
24.39,35.815,-5.054,324,1023,1023
24.50,33.794,-2.021,331,1022,1023
24.61,32.783,-1.011,335,1022,1023
24.73,29.751,-3.032,344,1022,1023
24.84,28.740,-1.011,397,1022,1023
24.95,27.729,-1.011,672,1023,1023
25.07,26.719,-1.011,731,1023,1023
25.18,24.697,-2.021,785,1023,1023
25.29,23.687,-1.011,812,1023,1023
25.40,22.676,-1.011,863,1023,1023
25.52,23.687,1.011,1022,1022,1023
25.63,21.665,-2.021,1023,1023,1023
25.74,20.654,-1.011,1023,1023,1023
25.86,21.665,1.011,1023,1022,1023
25.97,19.644,-2.021,1022,1022,1023
26.08,20.654,1.011,1023,1023,1023
26.40,19.644,-1.011,1022,1023,1023
26.51,20.654,1.011,1023,1022,1023
26.93,19.644,-1.011,1023,1023,1022
27.15,20.654,1.011,1022,1023,1023
27.46,19.644,-1.011,1022,1023,1023
27.68,20.654,1.011,1022,1022,1023
27.89,21.665,1.011,1022,1023,1022
28.00,20.654,-1.011,1023,1023,1023
28.32,21.665,1.011,1023,1022,1023
28.74,23.687,2.021,906,1023,1023
28.95,22.676,-1.011,875,1023,1023
29.06,23.687,1.011,842,1023,1023
29.38,24.697,1.011,807,1023,1023
29.69,25.708,1.011,795,1023,1023
30.00,26.719,1.011,708,1023,1023
30.22,27.729,1.011,556,1023,1023
30.33,28.740,1.011,486,1023,1023
30.54,27.729,-1.011,441,1023,1023
30.66,29.751,2.021,429,1023,1023
30.97,30.762,1.011,387,1023,1023
31.08,32.783,2.021,323,1023,1023
31.29,33.794,1.011,325,1023,1023
31.41,34.805,1.011,324,1023,1023
31.72,35.815,1.011,324,1023,1023
31.93,37.837,2.021,317,1023,1023
32.35,38.848,1.011,304,1023,1023
32.66,37.837,-1.011,305,1023,1022
32.78,38.848,1.011,305,1023,1023
33.09,39.858,1.011,303,1023,1023
33.20,40.869,1.011,299,1023,1023
33.52,39.858,-1.011,299,1022,1023
33.63,38.848,-1.011,300,1023,1023
33.74,40.869,2.021,299,1023,1023
33.96,39.858,-1.011,300,1022,1023
34.07,40.869,1.011,298,1022,1023
34.18,41.880,1.011,297,1023,1023
34.39,40.869,-1.011,294,1022,1023
34.51,41.880,1.011,290,1022,1023
34.62,42.891,1.011,281,1023,1023
34.73,41.880,-1.011,289,1023,1023
34.84,37.837,-4.043,311,1022,1023
34.96,32.783,-5.054,330,1022,1023
35.07,29.751,-3.032,342,1023,1023
35.18,26.719,-3.032,374,1022,1023
35.29,25.708,-1.011,452,1023,1022
35.41,24.697,-1.011,810,1023,1023
35.52,23.687,-1.011,835,1022,1023
35.63,22.676,-1.011,868,1023,1022
35.75,21.665,-1.011,888,1023,1023
35.86,20.654,-1.011,988,1023,1023
36.18,18.633,-2.021,1023,1023,1023
36.29,20.654,2.021,1023,1022,1022
36.40,19.644,-1.011,1023,1023,1023
36.52,20.654,1.011,1023,1023,1023
36.73,19.644,-1.011,1023,1023,1023
37.05,18.633,-1.011,1022,1023,1023
37.16,19.644,1.011,1023,1023,1023
37.48,20.654,1.011,1023,1022,1023
37.59,19.644,-1.011,1023,1023,1023
37.70,20.654,1.011,1023,1023,1023
38.02,21.665,1.011,1023,1023,1023
38.13,20.654,-1.011,1023,1023,1023
38.24,19.644,-1.011,1022,1023,1023
38.36,20.654,1.011,1023,1023,1022
38.67,21.665,1.011,889,1023,1023
38.79,23.687,2.021,839,1023,1023
38.90,22.676,-1.011,810,1022,1023
39.01,24.697,2.021,798,1022,1023
39.32,26.719,2.021,452,1023,1023
39.44,27.729,1.011,385,1023,1023
39.65,29.751,2.021,314,1023,1023
39.76,30.762,1.011,314,1023,1023
39.87,32.783,2.021,316,1023,1023
39.99,33.794,1.011,318,1023,1023
40.10,34.805,1.011,318,1023,1023
40.31,35.815,1.011,321,1023,1023
40.42,36.826,1.011,312,1023,1023
40.53,38.848,2.021,310,1023,1023
40.85,39.858,1.011,303,1022,1023
41.06,40.869,1.011,293,1022,1022
41.17,41.880,1.011,292,1023,1023
41.38,42.891,1.011,279,1023,1023
41.50,43.901,1.011,278,1023,1023
41.61,42.891,-1.011,275,1022,1023
41.72,43.901,1.011,273,1022,1023
42.04,44.912,1.011,272,1023,1023
42.15,39.858,-5.054,292,1023,1023
42.26,34.805,-5.054,333,1023,1023
42.38,29.751,-5.054,345,1022,1022
42.49,26.719,-3.032,752,1023,1023
42.60,23.687,-3.032,836,1023,1023
42.71,21.665,-2.021,882,1023,1023
42.83,20.654,-1.011,1023,1023,1023
42.94,19.644,-1.011,1023,1023,1023
43.15,20.654,1.011,1023,1022,1023
43.27,19.644,-1.011,1023,1022,1023
43.38,20.654,1.011,1022,1022,1023
43.50,19.644,-1.011,1022,1023,1022
44.01,18.633,-1.011,1023,1023,1023
44.23,19.644,1.011,1022,1023,1022
44.44,18.633,-1.011,1023,1023,1022
44.76,19.644,1.011,1023,1023,1023
45.07,18.633,-1.011,1023,1022,1023
45.39,19.644,1.011,1023,1023,1023
45.60,18.633,-1.011,1023,1023,1023
45.72,19.644,1.011,1022,1022,1023
45.93,20.654,1.011,909,1023,1023
46.04,21.665,1.011,881,1023,1023
46.16,20.654,-1.011,825,1023,1023
46.27,22.676,2.021,512,1023,1023
46.48,23.687,1.011,345,1023,1023
46.70,25.708,2.021,332,1023,1023
46.81,26.719,1.011,322,1022,1023
46.92,27.729,1.011,312,1022,1023
47.03,28.740,1.011,310,1023,1023
47.24,30.762,2.021,311,1022,1023
47.56,33.794,3.032,298,1022,1023
47.87,35.815,2.021,296,1022,1023
47.98,36.826,1.011,296,1023,1023
48.60,35.815,-1.011,292,1022,1023
48.72,37.837,2.021,292,1023,1022
48.83,36.826,-1.011,293,1023,1023
48.94,37.837,1.011,292,1023,1023
49.26,38.848,1.011,291,1023,1023
49.47,39.858,1.011,288,1023,1023
49.58,38.848,-1.011,288,1023,1022
49.79,39.858,1.011,288,1023,1023
49.90,38.848,-1.011,288,1023,1023
50.02,39.858,1.011,288,1022,1023
50.43,40.869,1.011,290,1023,1023
50.54,39.858,-1.011,289,1023,1023
50.66,38.848,-1.011,284,1023,1023
50.77,39.858,1.011,282,1023,1023
50.88,40.869,1.011,280,1022,1023
51.00,37.837,-3.032,299,1023,1023
51.11,30.762,-7.075,318,1023,1023
51.22,26.719,-4.043,339,1023,1023
51.33,25.708,-1.011,384,1023,1023
51.45,23.687,-2.021,464,1022,1023
51.66,21.665,-2.021,859,1023,1022
51.87,20.654,-1.011,1022,1022,1023
52.50,19.644,-1.011,1022,1023,1023
52.61,18.633,-1.011,1023,1022,1023
52.72,19.644,1.011,1023,1023,1023
53.24,20.654,1.011,1023,1023,1022
53.35,19.644,-1.011,1022,1023,1023
53.57,20.654,1.011,1023,1023,1023
53.68,19.644,-1.011,977,1023,1023
53.79,21.665,2.021,969,1023,1023
54.21,22.676,1.011,770,1023,1023
54.32,23.687,1.011,725,1023,1022
54.43,24.697,1.011,504,1023,1023
54.54,25.708,1.011,406,1023,1023
54.66,27.729,2.021,357,1023,1023
54.77,29.751,2.021,361,1022,1023
54.88,30.762,1.011,354,1023,1022
54.99,31.772,1.011,350,1023,1023
55.21,32.783,1.011,331,1023,1022
55.32,33.794,1.011,330,1023,1023
55.53,35.815,2.021,315,1023,1023
55.85,36.826,1.011,299,1022,1023
56.06,37.837,1.011,300,1023,1023
56.47,36.826,-1.011,304,1023,1023
56.59,37.837,1.011,298,1022,1023
56.70,36.826,-1.011,285,1022,1023
56.81,38.848,2.021,285,1023,1023
57.02,39.858,1.011,288,1023,1023
57.14,38.848,-1.011,287,1023,1023
57.25,39.858,1.011,288,1023,1023
57.66,40.869,1.011,284,1022,1023
57.88,39.858,-1.011,288,1023,1023
58.29,34.805,-5.054,330,1022,1023
58.41,28.740,-6.064,387,1022,1022
