Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.35,19.644,1.011,1023,1023,1023
4.46,18.633,-1.011,1023,1023,1023
4.57,17.622,-1.011,1022,1023,1023
4.68,19.644,2.021,1023,1023,1023
4.80,18.633,-1.011,1023,1023,1023
6.02,17.622,-1.011,1022,1023,1023
6.24,19.644,2.021,1023,1023,1023
6.35,18.633,-1.011,1023,1023,1023
6.46,19.644,1.011,1023,1022,1023
6.67,18.633,-1.011,1023,1023,1023
6.79,19.644,1.011,1023,1023,1023
7.00,18.633,-1.011,1023,1023,1023
7.42,17.622,-1.011,1023,1023,1023
7.53,18.633,1.011,1023,1022,1023
8.76,19.644,1.011,1023,1023,1023
8.87,18.633,-1.011,1022,1023,1023
8.98,19.644,1.011,1023,1023,1023
9.09,18.633,-1.011,1023,1022,1023
9.20,19.644,1.011,1022,1023,1023
9.52,18.633,-1.011,1022,1023,1023
9.63,19.644,1.011,1023,1023,1023
10.35,18.633,-1.011,1023,1023,1023
10.77,19.644,1.011,1023,1022,1023
10.88,20.654,1.011,1023,1023,1023
10.99,19.644,-1.011,1023,1023,1017
11.11,20.654,1.011,1022,1023,1011
11.63,19.644,-1.011,1023,1023,972
11.74,20.654,1.011,1023,1023,953
12.26,21.665,1.011,1023,1023,896
12.37,20.654,-1.011,1022,1023,896
12.48,21.665,1.011,1023,1023,892
12.59,22.676,1.011,1023,1023,875
12.70,23.687,1.011,1023,1023,852
12.92,24.697,1.011,1023,1023,824
13.03,26.719,2.021,1023,1023,817
13.24,27.729,1.011,1022,1023,791
13.35,28.740,1.011,1023,1023,790
13.57,29.751,1.011,1023,1023,786
13.88,30.762,1.011,1022,1022,778
13.99,28.740,-2.021,1023,1023,767
14.10,31.772,3.032,1023,1022,757
14.42,32.783,1.011,1023,1023,747
14.63,34.805,2.021,1022,1022,746
14.74,35.815,1.011,1023,1023,739
14.96,36.826,1.011,1023,1023,736
15.07,34.805,-2.021,1023,1022,730
15.28,36.826,2.021,1023,1023,728
15.50,35.815,-1.011,1023,1023,722
15.61,36.826,1.011,1022,1023,718
15.72,37.837,1.011,1023,1023,714
15.93,36.826,-1.011,1023,1023,704
16.05,38.848,2.021,1023,1023,703
16.26,37.837,-1.011,1023,1023,699
16.37,38.848,1.011,1022,1023,695
16.69,39.858,1.011,1023,1023,696
17.00,40.869,1.011,1022,1023,679
17.82,41.880,1.011,1023,1023,673
17.93,40.869,-1.011,1023,1023,677
18.05,38.848,-2.021,1023,1023,686
18.16,36.826,-2.021,1023,1023,682
18.27,34.805,-2.021,1023,1023,689
18.49,33.794,-1.011,1022,1023,704
18.60,30.762,-3.032,1023,1023,715
18.71,29.751,-1.011,1023,1023,725
18.82,28.740,-1.011,1022,1023,735
18.94,27.729,-1.011,1022,1023,740
19.05,26.719,-1.011,1023,1023,754
19.16,24.697,-2.021,1022,1023,753
19.28,25.708,1.011,1022,1023,758
19.39,24.697,-1.011,1023,1023,782
19.50,23.687,-1.011,1023,1023,788
19.61,22.676,-1.011,1023,1023,794
19.73,21.665,-1.011,1023,1023,828
19.94,20.654,-1.011,1023,1023,851
20.36,19.644,-1.011,1023,1023,942
20.77,18.633,-1.011,1023,1023,986
20.89,19.644,1.011,1023,1023,991
21.30,18.633,-1.011,1023,1023,981
21.62,19.644,1.011,1023,1023,997
22.03,18.633,-1.011,1023,1023,1023
22.25,19.644,1.011,1023,1023,1023
22.36,18.633,-1.011,1023,1023,1023
22.58,19.644,1.011,1023,1023,1023
22.69,18.633,-1.011,1022,1023,1023
22.90,19.644,1.011,1022,1023,1023
23.02,18.633,-1.011,1022,1023,1023
23.13,19.644,1.011,1023,1023,1023
23.35,18.633,-1.011,1023,1023,1023
23.56,20.654,2.021,1023,1023,1023
23.67,18.633,-2.021,1023,1023,1023
23.89,19.644,1.011,1023,1023,1023
24.00,18.633,-1.011,1023,1023,1023
24.22,19.644,1.011,1022,1023,1006
24.33,20.654,1.011,1023,1023,958
24.75,21.665,1.011,1022,1023,854
24.86,22.676,1.011,1023,1023,846
24.97,24.697,2.021,1023,1023,784
25.08,26.719,2.021,1023,1023,763
25.19,28.740,2.021,1022,1023,752
25.30,31.772,3.032,1023,1023,732
25.42,32.783,1.011,1023,1023,721
25.63,35.815,3.032,1022,1023,701
25.74,36.826,1.011,1023,1023,697
25.85,38.848,2.021,1023,1023,677
25.96,39.858,1.011,1023,1023,680
26.08,40.869,1.011,1023,1023,644
26.19,41.880,1.011,1023,1023,644
26.30,42.891,1.011,1023,1023,643
26.51,43.901,1.011,1023,1023,638
26.63,44.912,1.011,1022,1023,634
26.74,43.901,-1.011,1023,1023,636
26.85,45.923,2.021,1023,1023,629
26.96,44.912,-1.011,1023,1023,633
27.07,45.923,1.011,1023,1022,639
27.19,46.934,1.011,1022,1022,641
27.30,45.923,-1.011,1023,1023,630
27.41,46.934,1.011,1023,1023,626
27.52,47.944,1.011,1023,1023,624
27.63,46.934,-1.011,1023,1023,618
27.85,47.944,1.011,1022,1022,622
28.06,46.934,-1.011,1022,1023,625
28.17,48.955,2.021,1022,1023,621
28.29,47.944,-1.011,1022,1023,629
28.50,46.934,-1.011,1023,1023,622
28.72,47.944,1.011,1023,1023,628
28.93,45.923,-2.021,1023,1023,627
29.04,43.901,-2.021,1023,1022,628
