timestamped_line
"[15:33:07] Ready. Type 's' to start logging, 'e' to stop."
[15:33:07] Sensor Info:
[15:33:07] Sensor ID: 50
[15:33:07] Sensor Name: FORCE PLATE 850
[15:33:07] Units: N
[15:33:07] ▶️ START LOGGING
"[15:33:07] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:33:07] 4.35, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:08] 4.46, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:08] 4.57, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:08] 4.68, Force(N): 19.644, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:08] 4.80, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:09] 6.02, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:09] 6.24, Force(N): 19.644, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:09] 6.35, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:10] 6.46, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:33:10] 6.67, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:10] 6.79, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:10] 7.00, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:10] 7.42, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:11] 7.53, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:33:12] 8.76, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:12] 8.87, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:12] 8.98, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:12] 9.09, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:33:12] 9.20, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:13] 9.52, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:13] 9.63, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:13] 10.35, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:14] 10.77, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:33:14] 10.88, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:14] 10.99, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1017"
"[15:33:14] 11.11, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1011"
"[15:33:15] 11.63, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 972"
"[15:33:15] 11.74, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 953"
"[15:33:15] 12.26, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 896"
"[15:33:15] 12.37, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 896"
"[15:33:16] 12.48, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 892"
"[15:33:16] 12.59, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 875"
"[15:33:16] 12.70, Force(N): 23.687, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 852"
"[15:33:16] 12.92, Force(N): 24.697, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 824"
"[15:33:16] 13.03, Force(N): 26.719, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 817"
"[15:33:16] 13.24, Force(N): 27.729, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 791"
"[15:33:16] 13.35, Force(N): 28.740, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 790"
"[15:33:17] 13.57, Force(N): 29.751, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 786"
"[15:33:17] 13.88, Force(N): 30.762, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 778"
"[15:33:17] 13.99, Force(N): 28.740, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 767"
"[15:33:17] 14.10, Force(N): 31.772, ΔF(N): 3.032, FSR1: 1023, FSR2: 1022, FSR3: 757"
"[15:33:18] 14.42, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 747"
"[15:33:18] 14.63, Force(N): 34.805, ΔF(N): 2.021, FSR1: 1022, FSR2: 1022, FSR3: 746"
"[15:33:18] 14.74, Force(N): 35.815, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 739"
"[15:33:18] 14.96, Force(N): 36.826, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 736"
"[15:33:18] 15.07, Force(N): 34.805, ΔF(N): -2.021, FSR1: 1023, FSR2: 1022, FSR3: 730"
"[15:33:18] 15.28, Force(N): 36.826, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 728"
"[15:33:19] 15.50, Force(N): 35.815, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 722"
"[15:33:19] 15.61, Force(N): 36.826, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 718"
"[15:33:19] 15.72, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 714"
"[15:33:19] 15.93, Force(N): 36.826, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 704"
"[15:33:19] 16.05, Force(N): 38.848, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 703"
"[15:33:19] 16.26, Force(N): 37.837, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 699"
"[15:33:19] 16.37, Force(N): 38.848, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 695"
"[15:33:20] 16.69, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 696"
"[15:33:20] 17.00, Force(N): 40.869, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 679"
"[15:33:21] 17.82, Force(N): 41.880, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 673"
"[15:33:21] 17.93, Force(N): 40.869, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 677"
"[15:33:21] 18.05, Force(N): 38.848, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 686"
"[15:33:21] 18.16, Force(N): 36.826, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 682"
"[15:33:21] 18.27, Force(N): 34.805, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 689"
"[15:33:22] 18.49, Force(N): 33.794, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 704"
"[15:33:22] 18.60, Force(N): 30.762, ΔF(N): -3.032, FSR1: 1023, FSR2: 1023, FSR3: 715"
"[15:33:22] 18.71, Force(N): 29.751, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 725"
"[15:33:22] 18.82, Force(N): 28.740, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 735"
"[15:33:22] 18.94, Force(N): 27.729, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 740"
"[15:33:22] 19.05, Force(N): 26.719, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 754"
"[15:33:22] 19.16, Force(N): 24.697, ΔF(N): -2.021, FSR1: 1022, FSR2: 1023, FSR3: 753"
"[15:33:22] 19.28, Force(N): 25.708, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 758"
"[15:33:22] 19.39, Force(N): 24.697, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 782"
"[15:33:23] 19.50, Force(N): 23.687, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 788"
"[15:33:23] 19.61, Force(N): 22.676, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 794"
"[15:33:23] 19.73, Force(N): 21.665, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 828"
"[15:33:23] 19.94, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 851"
