Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.25,18.633,-1.011,1023,1023,1023
4.76,19.644,1.011,1023,1023,1023
4.88,18.633,-1.011,1023,1023,1023
5.39,19.644,1.011,1023,1023,1023
5.61,18.633,-1.011,1023,1023,1023
5.72,19.644,1.011,1023,1023,1023
5.83,18.633,-1.011,1023,1022,1023
6.55,19.644,1.011,1022,1023,1023
6.66,18.633,-1.011,1023,1023,1023
6.98,19.644,1.011,1023,1023,1023
7.09,18.633,-1.011,1022,1023,1023
7.20,19.644,1.011,1023,1023,1023
7.31,20.654,1.011,1008,1023,1023
7.43,21.665,1.011,930,1023,1023
7.64,20.654,-1.011,843,1023,1023
7.75,21.665,1.011,835,1023,1023
8.06,22.676,1.011,831,1023,1023
8.17,21.665,-1.011,826,1023,1023
8.49,22.676,1.011,567,1023,1023
8.60,24.697,2.021,551,1023,1023
8.71,23.687,-1.011,544,1023,1023
8.92,24.697,1.011,491,1023,1023
9.14,25.708,1.011,472,1022,1023
9.25,24.697,-1.011,469,1023,1023
9.36,25.708,1.011,464,1023,1023
9.47,26.719,1.011,460,1023,1023
9.68,25.708,-1.011,451,1023,1023
9.79,26.719,1.011,449,1023,1023
10.00,28.740,2.021,441,1022,1023
10.12,27.729,-1.011,439,1023,1023
10.53,28.740,1.011,436,1023,1023
10.64,30.762,2.021,434,1023,1023
11.06,32.783,2.021,437,1023,1023
11.27,31.772,-1.011,436,1023,1023
11.79,32.783,1.011,436,1022,1023
11.90,31.772,-1.011,436,1023,1023
12.02,32.783,1.011,435,1022,1023
12.53,34.805,2.021,435,1023,1023
12.64,33.794,-1.011,435,1022,1022
13.16,32.783,-1.011,434,1022,1021
13.27,33.794,1.011,434,1022,1022
13.49,34.805,1.011,433,1022,1022
13.80,35.815,1.011,421,1022,1022
13.91,34.805,-1.011,421,1022,1022
14.03,35.815,1.011,419,1022,1022
14.14,34.805,-1.011,417,1022,1022
14.25,36.826,2.021,416,1022,1022
14.36,35.815,-1.011,414,1022,1022
14.48,36.826,1.011,412,1022,1022
14.79,35.815,-1.011,412,1022,1022
14.90,36.826,1.011,411,1022,1022
15.01,35.815,-1.011,409,1022,1022
15.13,36.826,1.011,408,1022,1022
15.24,35.815,-1.011,408,1022,1022
15.35,37.837,2.021,407,1023,1022
15.46,36.826,-1.011,408,1021,1022
15.78,38.848,2.021,402,1021,1022
15.89,37.837,-1.011,401,1022,1022
16.00,39.858,2.021,400,1022,1022
16.12,38.848,-1.011,397,1022,1023
16.33,39.858,1.011,394,1022,1022
16.44,40.869,1.011,390,1022,1022
