timestamped_line
"[15:27:54] Ready. Type 's' to start logging, 'e' to stop."
[15:27:54] Sensor Info:
[15:27:54] Sensor ID: 50
[15:27:54] Sensor Name: FORCE PLATE 850
[15:27:54] Units: N
[15:27:54] ▶️ START LOGGING
"[15:27:54] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:27:54] 4.25, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:27:55] 4.76, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:27:55] 4.88, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:27:55] 5.39, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:27:55] 5.61, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:27:56] 5.72, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:27:56] 5.83, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:27:56] 6.55, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:27:56] 6.66, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:27:57] 6.98, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:27:57] 7.09, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:27:57] 7.20, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:27:57] 7.31, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1008, FSR2: 1023, FSR3: 1023"
"[15:27:57] 7.43, Force(N): 21.665, ΔF(N): 1.011, FSR1: 930, FSR2: 1023, FSR3: 1023"
"[15:27:57] 7.64, Force(N): 20.654, ΔF(N): -1.011, FSR1: 843, FSR2: 1023, FSR3: 1023"
"[15:27:58] 7.75, Force(N): 21.665, ΔF(N): 1.011, FSR1: 835, FSR2: 1023, FSR3: 1023"
"[15:27:58] 8.06, Force(N): 22.676, ΔF(N): 1.011, FSR1: 831, FSR2: 1023, FSR3: 1023"
"[15:27:58] 8.17, Force(N): 21.665, ΔF(N): -1.011, FSR1: 826, FSR2: 1023, FSR3: 1023"
"[15:27:58] 8.49, Force(N): 22.676, ΔF(N): 1.011, FSR1: 567, FSR2: 1023, FSR3: 1023"
"[15:27:58] 8.60, Force(N): 24.697, ΔF(N): 2.021, FSR1: 551, FSR2: 1023, FSR3: 1023"
"[15:27:59] 8.71, Force(N): 23.687, ΔF(N): -1.011, FSR1: 544, FSR2: 1023, FSR3: 1023"
"[15:27:59] 8.92, Force(N): 24.697, ΔF(N): 1.011, FSR1: 491, FSR2: 1023, FSR3: 1023"
