Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.15,18.633,1.011,1023,1023,1023
4.52,17.622,-1.011,1022,1023,1023
4.64,18.633,1.011,1023,1023,1023
4.85,17.622,-1.011,1023,1023,1023
4.96,16.611,-1.011,1023,1023,1023
5.07,18.633,2.021,1023,1023,1023
6.00,17.622,-1.011,1023,1023,1023
6.11,18.633,1.011,1023,1023,1023
6.22,17.622,-1.011,1023,1023,1023
6.33,18.633,1.011,1023,1023,1023
6.45,19.644,1.011,1023,1023,1023
6.56,18.633,-1.011,1023,1023,1022
6.67,19.644,1.011,1023,1022,1023
6.78,18.633,-1.011,1023,1023,1023
6.90,19.644,1.011,1023,1023,1023
7.01,18.633,-1.011,1023,1022,1023
7.12,19.644,1.011,1023,1023,1023
7.23,18.633,-1.011,1023,1023,1023
7.34,19.644,1.011,1023,1023,1023
7.46,18.633,-1.011,1023,1023,1023
7.87,17.622,-1.011,1023,1023,1023
7.99,19.644,2.021,1023,1023,1023
8.10,18.633,-1.011,1023,1023,1023
8.21,19.644,1.011,1023,1023,1023
8.32,20.654,1.011,1023,957,1023
8.84,21.665,1.011,1023,756,1023
9.15,20.654,-1.011,1023,767,1023
9.26,21.665,1.011,1023,768,1023
9.37,22.676,1.011,1023,745,1023
9.69,23.687,1.011,1023,714,1023
9.80,24.697,1.011,1023,701,1023
10.01,25.708,1.011,1022,616,1023
10.12,24.697,-1.011,1023,582,1023
10.23,26.719,2.021,1023,549,1023
10.45,27.729,1.011,1022,525,1023
10.76,29.751,2.021,1022,497,1023
10.98,28.740,-1.011,1023,487,1023
11.09,30.762,2.021,1023,481,1023
11.30,31.772,1.011,1023,477,1023
11.51,32.783,1.011,1023,470,1023
11.73,33.794,1.011,1023,446,1023
12.04,35.815,2.021,1022,402,1023
12.46,36.826,1.011,1023,380,1023
12.57,38.848,2.021,1023,378,1023
12.88,39.858,1.011,1022,366,1023
13.00,38.848,-1.011,1023,365,1023
13.21,37.837,-1.011,1023,369,1023
13.32,38.848,1.011,1023,366,1023
13.53,39.858,1.011,1023,361,1023
14.05,40.869,1.011,1023,341,1023
14.37,41.880,1.011,1023,338,1023
14.48,40.869,-1.011,1023,336,1023
14.69,38.848,-2.021,1023,355,1023
14.80,34.805,-4.043,1023,404,1023
14.92,32.783,-2.021,1023,457,1023
15.03,28.740,-4.043,1023,523,1023
15.14,27.729,-1.011,1023,558,1023
15.26,26.719,-1.011,1023,668,1023
15.37,24.697,-2.021,1023,700,1023
15.58,23.687,-1.011,1023,755,1023
15.70,22.676,-1.011,1023,768,1023
15.81,21.665,-1.011,1022,777,1023
16.02,20.654,-1.011,1023,853,1023
16.24,19.644,-1.011,1023,936,1022
16.86,18.633,-1.011,1023,1023,1023
16.97,19.644,1.011,1023,1023,1023
17.29,20.654,1.011,1023,1023,1023
17.40,19.644,-1.011,1023,1023,1023
17.71,18.633,-1.011,1023,1023,1023
17.83,19.644,1.011,1023,1023,1023
17.94,20.654,1.011,1022,1023,1023
18.26,19.644,-1.011,1023,971,1023
18.37,20.654,1.011,1023,895,1023
18.48,19.644,-1.011,1023,849,1023
18.59,21.665,2.021,1023,763,1023
18.81,22.676,1.011,1022,772,1023
18.92,23.687,1.011,1023,752,1023
19.13,24.697,1.011,1023,701,1023
19.35,26.719,2.021,1023,630,1023
19.46,27.729,1.011,1023,558,1023
19.67,28.740,1.011,1023,517,1023
19.78,30.762,2.021,1023,510,1023
20.20,31.772,1.011,1023,472,1023
20.31,32.783,1.011,1022,462,1023
20.52,34.805,2.021,1022,453,1023
20.63,33.794,-1.011,1023,451,1023
20.75,34.805,1.011,1023,448,1023
20.96,35.815,1.011,1023,436,1023
21.17,34.805,-1.011,1023,426,1023
21.29,36.826,2.021,1023,423,1023
21.60,35.815,-1.011,1023,411,1023
21.71,36.826,1.011,1023,402,1023
21.82,37.837,1.011,1023,399,1023
21.94,38.848,1.011,1023,393,1023
22.25,37.837,-1.011,1023,385,1023
22.36,38.848,1.011,1023,378,1023
