timestamped_line
[19:48:21] ▶ Starting baseline phase for 2.5 seconds...
[19:48:21] t (s) | A | B | C | D
[19:48:21] 0.050 | 34640 | 42588 | 82 | 548
[19:48:21] 0.100 | 34635 | 40824 | 83 | 546
[19:48:21] 0.150 | 31739 | 33178 | 70 | 516
[19:48:21] 0.200 | 36655 | 31873 | 78 | 565
[19:48:21] 0.250 | 31708 | 37512 | 81 | 553
[19:48:21] 0.300 | 32126 | 37870 | 81 | 542
[19:48:21] 0.350 | 34547 | 39003 | 79 | 565
[19:48:21] 0.400 | 35626 | 33514 | 69 | 542
[19:48:21] 0.450 | 29991 | 37616 | 89 | 490
[19:48:22] 0.500 | 31258 | 32753 | 73 | 453
[19:48:22] 0.550 | 27735 | 34260 | 85 | 461
[19:48:22] 0.600 | 34299 | 31448 | 83 | 451
[19:48:22] 0.650 | 34434 | 35566 | 75 | 475
[19:48:22] 0.700 | 35877 | 38431 | 62 | 502
[19:48:22] 0.750 | 34757 | 36208 | 81 | 373
[19:48:22] 0.800 | 31455 | 32571 | 90 | 413
[19:48:22] 0.850 | 32909 | 36399 | 89 | 447
[19:48:22] 0.900 | 31952 | 37073 | 72 | 396
[19:48:22] 0.950 | 30560 | 35124 | 75 | 374
[19:48:22] 1.000 | 31826 | 34719 | 68 | 464
[19:48:22] 1.050 | 32232 | 35045 | 80 | 468
[19:48:22] 1.100 | 34156 | 35367 | 72 | 444
[19:48:22] 1.150 | 34548 | 33033 | 69 | 394
[19:48:22] 1.200 | 33640 | 36604 | 72 | 473
[19:48:22] 1.250 | 31695 | 37854 | 69 | 500
[19:48:22] 1.300 | 30633 | 34433 | 94 | 398
[19:48:22] 1.350 | 30838 | 39666 | 65 | 404
[19:48:22] 1.400 | 35659 | 36335 | 83 | 379
[19:48:22] 1.450 | 32889 | 35647 | 90 | 425
[19:48:23] 1.500 | 31718 | 38419 | 75 | 483
[19:48:23] 1.550 | 29425 | 32418 | 84 | 552
[19:48:23] 1.600 | 34145 | 37225 | 66 | 561
[19:48:23] 1.650 | 31189 | 35540 | 79 | 444
[19:48:23] 1.700 | 30762 | 32904 | 76 | 535
[19:48:23] 1.750 | 30294 | 31570 | 73 | 546
[19:48:23] 1.800 | 32412 | 35839 | 76 | 470
[19:48:23] 1.850 | 32993 | 36859 | 79 | 591
[19:48:23] 1.900 | 37423 | 36820 | 58 | 583
[19:48:23] 1.950 | 32838 | 32539 | 80 | 626
[19:48:23] 2.000 | 33983 | 38676 | 74 | 585
[19:48:23] 2.050 | 31741 | 38572 | 73 | 556
[19:48:23] 2.100 | 34703 | 36178 | 83 | 320
[19:48:23] 2.150 | 32385 | 40240 | 73 | 512
[19:48:23] 2.200 | 34497 | 36454 | 77 | 426
[19:48:23] 2.250 | 31905 | 35069 | 67 | 584
[19:48:23] 2.300 | 31575 | 34840 | 82 | 521
[19:48:23] 2.350 | 31605 | 34402 | 70 | 634
[19:48:23] 2.400 | 31174 | 31552 | 76 | 882
[19:48:23] 2.450 | 32065 | 37286 | 84 | 736
[19:48:24] 2.500 | 31150 | 35143 | 79 | 560
[19:48:24] ✅ Baseline complete. Starting main recording for 10 seconds...
[19:48:24] 2.550 | 31347 | 32177 | 64 | 547
[19:48:24] 0.050 | 32029 | 35691 | 86 | 382
[19:48:24] 0.100 | 35049 | 34711 | 84 | 504
[19:48:24] 0.150 | 29004 | 36703 | 75 | 442
[19:48:24] 0.200 | 35817 | 30552 | 75 | 479
[19:48:24] 0.250 | 33677 | 36168 | 77 | 481
[19:48:24] 0.300 | 33253 | 32768 | 73 | 527
[19:48:24] 0.350 | 28180 | 34913 | 57 | 623
[19:48:24] 0.400 | 30509 | 36656 | 69 | 482
[19:48:24] 0.450 | 30112 | 35924 | 80 | 479
[19:48:24] 0.500 | 33913 | 39540 | 75 | 528
[19:48:24] 0.550 | 32995 | 35846 | 61 | 515
[19:48:24] 0.600 | 35209 | 32745 | 80 | 540
[19:48:24] 0.650 | 35775 | 32822 | 89 | 554
[19:48:24] 0.700 | 30945 | 32331 | 78 | 612
[19:48:24] 0.750 | 33098 | 37413 | 80 | 472
[19:48:24] 0.800 | 35988 | 34003 | 70 | 538
[19:48:24] 0.850 | 28436 | 33906 | 64 | 520
[19:48:24] 0.900 | 30279 | 35278 | 78 | 529
[19:48:25] 0.950 | 33690 | 40259 | 89 | 569
[19:48:25] 1.000 | 33370 | 36309 | 77 | 502
[19:48:25] 1.050 | 32084 | 35032 | 73 | 497
[19:48:25] 1.100 | 36009 | 34024 | 54 | 587
[19:48:25] 1.150 | 29619 | 38042 | 66 | 522
[19:48:25] 1.200 | 29364 | 35359 | 77 | 571
[19:48:25] 1.250 | 31009 | 34833 | 82 | 612
[19:48:25] 1.300 | 30673 | 34320 | 68 | 649
[19:48:25] 1.350 | 35879 | 35585 | 62 | 735
[19:48:25] 1.400 | 33495 | 40997 | 72 | 734
[19:48:25] 1.450 | 32731 | 36791 | 73 | 625
[19:48:25] 1.500 | 30867 | 35129 | 75 | 659
[19:48:25] 1.550 | 34799 | 38384 | 84 | 645
[19:48:25] 1.600 | 32832 | 38314 | 85 | 717
[19:48:25] 1.650 | 35668 | 36679 | 74 | 717
[19:48:25] 1.700 | 33514 | 35447 | 80 | 693
[19:48:25] 1.750 | 34145 | 32579 | 63 | 649
[19:48:25] 1.800 | 36291 | 33298 | 76 | 665
[19:48:25] 1.850 | 32012 | 34019 | 64 | 670
[19:48:25] 1.900 | 33552 | 33343 | 71 | 652
[19:48:26] 1.950 | 29118 | 33235 | 70 | 688
[19:48:26] 2.000 | 33293 | 37876 | 68 | 698
[19:48:26] 2.050 | 33480 | 34736 | 73 | 685
[19:48:26] 2.100 | 34367 | 33791 | 81 | 678
[19:48:26] 2.150 | 32826 | 36783 | 78 | 664
[19:48:26] 2.200 | 32697 | 36100 | 63 | 589
[19:48:26] 2.250 | 31363 | 33677 | 75 | 513
[19:48:26] 2.300 | 33374 | 34494 | 81 | 447
[19:48:26] 2.350 | 32531 | 33703 | 72 | 567
[19:48:26] 2.400 | 32686 | 31563 | 85 | 500
[19:48:26] 2.450 | 28833 | 35781 | 74 | 525
[19:48:26] 2.500 | 30904 | 41380 | 80 | 517
[19:48:26] 2.550 | 35842 | 39844 | 73 | 548
