timestamped_line
[19:47:45] ▶ Starting baseline phase for 2.5 seconds...
[19:47:45] t (s) | A | B | C | D
[19:47:45] 0.050 | 31460 | 35826 | 75 | 196
[19:47:45] 0.100 | 31980 | 37316 | 68 | 187
[19:47:45] 0.150 | 31715 | 33386 | 82 | 199
[19:47:45] 0.200 | 36502 | 35468 | 69 | 190
[19:47:45] 0.250 | 28100 | 35038 | 90 | 191
[19:47:45] 0.300 | 33200 | 34724 | 81 | 170
[19:47:45] 0.350 | 29067 | 33402 | 66 | 202
[19:47:45] 0.400 | 34277 | 34561 | 91 | 202
[19:47:45] 0.450 | 34862 | 38460 | 70 | 190
[19:47:45] 0.500 | 32796 | 36714 | 70 | 180
[19:47:45] 0.550 | 29726 | 37552 | 87 | 188
[19:47:45] 0.600 | 33297 | 37066 | 79 | 185
[19:47:45] 0.650 | 28590 | 35167 | 73 | 181
[19:47:46] 0.700 | 31472 | 36384 | 69 | 197
[19:47:46] 0.750 | 34819 | 36513 | 79 | 196
[19:47:46] 0.800 | 32123 | 33957 | 77 | 184
[19:47:46] 0.850 | 31432 | 33863 | 69 | 181
[19:47:46] 0.900 | 28746 | 34288 | 70 | 173
[19:47:46] 0.950 | 31402 | 35738 | 80 | 196
[19:47:46] 1.000 | 33254 | 32882 | 61 | 181
[19:47:46] 1.050 | 34066 | 31920 | 89 | 194
[19:47:46] 1.100 | 30460 | 29366 | 75 | 183
[19:47:46] 1.150 | 31264 | 37895 | 70 | 187
[19:47:46] 1.200 | 30777 | 36957 | 74 | 176
[19:47:46] 1.250 | 32033 | 39386 | 72 | 182
[19:47:46] 1.300 | 31547 | 35367 | 66 | 197
[19:47:46] 1.350 | 34517 | 36208 | 75 | 205
[19:47:46] 1.400 | 29329 | 34284 | 85 | 199
[19:47:46] 1.450 | 34785 | 29988 | 71 | 170
[19:47:46] 1.500 | 32043 | 32136 | 79 | 189
[19:47:46] 1.550 | 30445 | 35932 | 74 | 190
[19:47:46] 1.600 | 34385 | 36763 | 67 | 193
[19:47:46] 1.650 | 30460 | 29889 | 80 | 198
[19:47:47] 1.700 | 32130 | 39831 | 89 | 205
[19:47:47] 1.750 | 35726 | 36636 | 66 | 177
[19:47:47] 1.800 | 33498 | 35420 | 73 | 181
[19:47:47] 1.850 | 33195 | 38068 | 74 | 222
[19:47:47] 1.900 | 31379 | 34562 | 78 | 200
[19:47:47] 1.950 | 32513 | 37205 | 69 | 185
[19:47:47] 2.000 | 33120 | 36634 | 76 | 168
[19:47:47] 2.050 | 32096 | 31083 | 73 | 180
[19:47:47] 2.100 | 33880 | 33703 | 80 | 189
[19:47:47] 2.150 | 33440 | 38652 | 76 | 211
[19:47:47] 2.200 | 33480 | 36394 | 75 | 188
[19:47:47] 2.250 | 31060 | 34988 | 79 | 188
[19:47:47] 2.300 | 31117 | 36738 | 65 | 205
[19:47:47] 2.350 | 35818 | 32899 | 82 | 188
[19:47:47] 2.400 | 28189 | 32727 | 70 | 185
[19:47:47] 2.450 | 31585 | 35446 | 71 | 199
[19:47:47] 2.500 | 34443 | 35127 | 68 | 172
[19:47:47] ✅ Baseline complete. Starting main recording for 10 seconds...
[19:47:47] 2.550 | 32212 | 35729 | 72 | 192
[19:47:47] 0.050 | 30194 | 33257 | 79 | 197
[19:47:47] 0.100 | 32535 | 32010 | 73 | 206
[19:47:48] 0.150 | 37123 | 33504 | 82 | 200
[19:47:48] 0.200 | 33895 | 32967 | 73 | 170
[19:47:48] 0.250 | 33994 | 36917 | 69 | 182
[19:47:48] 0.300 | 30161 | 34730 | 78 | 195
[19:47:48] 0.350 | 33703 | 33681 | 63 | 215
[19:47:48] 0.400 | 33179 | 32710 | 64 | 195
[19:47:48] 0.450 | 34822 | 36524 | 64 | 161
[19:47:48] 0.500 | 30180 | 37196 | 62 | 167
[19:47:48] 0.550 | 29689 | 33215 | 79 | 181
[19:47:48] 0.600 | 32830 | 34146 | 90 | 181
[19:47:48] 0.650 | 31502 | 35601 | 75 | 186
[19:47:48] 0.700 | 33881 | 37191 | 65 | 195
[19:47:48] 0.750 | 29916 | 35297 | 76 | 192
[19:47:48] 0.800 | 32971 | 36917 | 70 | 200
[19:47:48] 0.850 | 32518 | 32858 | 79 | 187
[19:47:48] 0.900 | 33353 | 32852 | 71 | 197
[19:47:48] 0.950 | 37281 | 33838 | 77 | 197
[19:47:48] 1.000 | 30772 | 28939 | 75 | 167
[19:47:48] 1.050 | 31954 | 32624 | 76 | 188
[19:47:48] 1.100 | 31577 | 37104 | 80 | 192
[19:47:49] 1.150 | 32478 | 40927 | 70 | 187
[19:47:49] 1.200 | 32193 | 36196 | 74 | 183
[19:47:49] 1.250 | 38491 | 32499 | 76 | 205
[19:47:49] 1.300 | 32371 | 36238 | 71 | 199
[19:47:49] 1.350 | 31685 | 36628 | 84 | 182
[19:47:49] 1.400 | 28103 | 34810 | 75 | 197
[19:47:49] 1.450 | 33011 | 33842 | 93 | 176
[19:47:49] 1.500 | 32017 | 36712 | 62 | 162
[19:47:49] 1.550 | 33208 | 31371 | 79 | 188
[19:47:49] 1.600 | 34603 | 35028 | 60 | 212
[19:47:49] 1.650 | 35143 | 40290 | 69 | 162
[19:47:49] 1.700 | 31060 | 34832 | 73 | 202
[19:47:49] 1.750 | 35765 | 38253 | 63 | 211
[19:47:49] 1.800 | 32006 | 33714 | 83 | 195
[19:47:49] 1.850 | 33481 | 34605 | 67 | 169
[19:47:49] 1.900 | 27457 | 35575 | 82 | 188
[19:47:49] 1.950 | 31310 | 38281 | 81 | 193
[19:47:49] 2.000 | 28988 | 38265 | 75 | 189
[19:47:49] 2.050 | 32901 | 33416 | 71 | 194
[19:47:49] 2.100 | 29819 | 33256 | 81 | 179
[19:47:50] 2.150 | 32667 | 35340 | 68 | 211
[19:47:50] 2.200 | 33241 | 36855 | 83 | 211
[19:47:50] 2.250 | 31486 | 34824 | 63 | 209
[19:47:50] 2.300 | 35755 | 34934 | 85 | 183
[19:47:50] 2.350 | 31908 | 33689 | 77 | 198
[19:47:50] 2.400 | 35013 | 35116 | 81 | 206
[19:47:50] 2.450 | 32757 | 37345 | 82 | 190
[19:47:50] 2.500 | 32302 | 38633 | 85 | 192
[19:47:50] 2.550 | 32222 | 32734 | 70 | 196
[19:47:50] 2.600 | 33806 | 40954 | 74 | 203
[19:47:50] 2.650 | 32127 | 34877 | 76 | 189
[19:47:50] 2.700 | 33282 | 36888 | 86 | 191
[19:47:50] 2.750 | 34185 | 40664 | 87 | 199
[19:47:50] 2.800 | 31443 | 37164 | 77 | 203
[19:47:50] 2.850 | 31587 | 37394 | 81 | 172
[19:47:50] 2.900 | 32658 | 34715 | 74 | 184
[19:47:50] 2.950 | 29706 | 36150 | 83 | 187
[19:47:50] 3.000 | 31054 | 37602 | 79 | 198
[19:47:50] 3.050 | 28679 | 37524 | 83 | 178
[19:47:50] 3.100 | 31973 | 35883 | 80 | 182
[19:47:51] 3.150 | 34182 | 34717 | 80 | 178
[19:47:51] 3.200 | 31582 | 36953 | 84 | 202
[19:47:51] 3.250 | 30801 | 35434 | 83 | 222
[19:47:51] 3.300 | 34431 | 34102 | 81 | 186
[19:47:51] 3.350 | 33953 | 32848 | 72 | 194
[19:47:51] 3.400 | 32629 | 37389 | 65 | 176
[19:47:51] 3.450 | 32634 | 35605 | 63 | 201
[19:47:51] 3.500 | 31194 | 35537 | 82 | 199
[19:47:51] 3.550 | 32683 | 34191 | 68 | 199
[19:47:51] 3.600 | 32885 | 33878 | 63 | 218
[19:47:51] 3.650 | 33465 | 31822 | 84 | 191
[19:47:51] 3.700 | 31315 | 35945 | 80 | 202
[19:47:51] 3.750 | 33377 | 38331 | 77 | 192
[19:47:51] 3.800 | 33668 | 33285 | 64 | 172
[19:47:51] 3.850 | 31839 | 34110 | 73 | 216
[19:47:51] 3.900 | 33560 | 32458 | 87 | 185
[19:47:51] 3.950 | 32557 | 36366 | 71 | 154
[19:47:51] 4.000 | 34137 | 32896 | 78 | 204
[19:47:51] 4.050 | 30925 | 33248 | 75 | 205
[19:47:51] 4.100 | 33777 | 32653 | 76 | 219
[19:47:52] 4.150 | 32238 | 34133 | 69 | 298
[19:47:52] 4.200 | 30780 | 35778 | 74 | 340
[19:47:52] 4.250 | 32317 | 32158 | 84 | 399
[19:47:52] 4.300 | 35948 | 38358 | 83 | 446
[19:47:52] 4.350 | 35737 | 37665 | 78 | 826
[19:47:52] 4.400 | 30430 | 33963 | 78 | 1573
[19:47:52] 4.450 | 32159 | 32022 | 74 | 1589
[19:47:52] 4.500 | 35377 | 35848 | 75 | 1662
[19:47:52] 4.550 | 33964 | 35563 | 76 | 2297
[19:47:52] 4.600 | 35957 | 37852 | 88 | 2530
[19:47:52] 4.650 | 32952 | 38136 | 75 | 2588
[19:47:52] 4.700 | 36319 | 38685 | 82 | 2746
[19:47:52] 4.750 | 36924 | 39129 | 79 | 2543
[19:47:52] 4.800 | 37115 | 37208 | 74 | 2735
[19:47:52] 4.850 | 34816 | 35980 | 68 | 2497
[19:47:52] 4.900 | 35046 | 34845 | 78 | 2503
[19:47:52] 4.950 | 36457 | 37407 | 80 | 2524
[19:47:52] 5.000 | 31952 | 32474 | 74 | 2344
[19:47:52] 5.050 | 36283 | 36864 | 73 | 2260
[19:47:52] 5.100 | 29605 | 31610 | 79 | 2369
[19:47:53] 5.150 | 35589 | 38318 | 77 | 1828
[19:47:53] 5.200 | 34044 | 37148 | 80 | 2468
[19:47:53] 5.250 | 30227 | 33411 | 76 | 2268
[19:47:53] 5.300 | 32018 | 34122 | 69 | 2407
[19:47:53] 5.350 | 35835 | 37073 | 81 | 2408
[19:47:53] 5.400 | 33048 | 37062 | 82 | 2403
[19:47:53] 5.450 | 32798 | 36288 | 93 | 2334
[19:47:53] 5.500 | 38416 | 34658 | 86 | 2323
[19:47:53] 5.550 | 31860 | 33752 | 84 | 2211
