timestamped_line
[19:45:36] ▶ Starting baseline phase for 2.5 seconds...
[19:45:36] t (s) | A | B | C | D
[19:45:36] 0.050 | 34095 | 39520 | 79 | 239
[19:45:36] 0.100 | 32258 | 38908 | 81 | 215
[19:45:36] 0.150 | 32601 | 35336 | 69 | 224
[19:45:36] 0.200 | 33288 | 35284 | 76 | 219
[19:45:36] 0.250 | 33867 | 37627 | 74 | 222
[19:45:36] 0.300 | 29253 | 33927 | 73 | 237
[19:45:36] 0.350 | 33253 | 37886 | 83 | 212
[19:45:36] 0.400 | 33075 | 38546 | 78 | 200
[19:45:36] 0.450 | 32402 | 34271 | 82 | 216
[19:45:36] 0.500 | 28944 | 37341 | 81 | 208
[19:45:36] 0.550 | 32454 | 36356 | 80 | 210
[19:45:36] 0.600 | 31698 | 31520 | 77 | 217
[19:45:37] 0.650 | 30799 | 38635 | 77 | 201
[19:45:37] 0.700 | 33778 | 37089 | 65 | 229
[19:45:37] 0.750 | 34048 | 36206 | 69 | 226
[19:45:37] 0.800 | 35578 | 33318 | 77 | 194
[19:45:37] 0.850 | 28258 | 34537 | 69 | 233
[19:45:37] 0.900 | 30559 | 34944 | 79 | 230
[19:45:37] 0.950 | 32817 | 33302 | 76 | 220
[19:45:37] 1.000 | 33512 | 40905 | 69 | 231
[19:45:37] 1.050 | 34983 | 36892 | 78 | 219
[19:45:37] 1.100 | 32676 | 40864 | 76 | 224
[19:45:37] 1.150 | 36552 | 38130 | 73 | 212
[19:45:37] 1.200 | 31406 | 35929 | 59 | 224
[19:45:37] 1.250 | 31904 | 34058 | 66 | 236
[19:45:37] 1.300 | 35520 | 35988 | 75 | 193
[19:45:37] 1.350 | 35575 | 33496 | 80 | 246
[19:45:37] 1.400 | 31906 | 35923 | 84 | 217
[19:45:37] 1.450 | 34088 | 36546 | 76 | 235
[19:45:37] 1.500 | 32778 | 34390 | 78 | 233
[19:45:37] 1.550 | 32470 | 33977 | 73 | 218
[19:45:37] 1.600 | 30734 | 35650 | 66 | 207
[19:45:38] 1.650 | 33945 | 33623 | 68 | 237
[19:45:38] 1.700 | 31156 | 32249 | 69 | 208
[19:45:38] 1.750 | 33927 | 33465 | 77 | 245
[19:45:38] 1.800 | 35277 | 36149 | 74 | 218
[19:45:38] 1.850 | 32414 | 32814 | 59 | 262
[19:45:38] 1.900 | 33168 | 37984 | 74 | 214
[19:45:38] 1.950 | 29879 | 32494 | 60 | 249
[19:45:38] 2.000 | 32823 | 35440 | 64 | 219
[19:45:38] 2.050 | 30952 | 39426 | 70 | 228
[19:45:38] 2.100 | 29076 | 29038 | 57 | 240
[19:45:38] 2.150 | 34203 | 35606 | 77 | 227
[19:45:38] 2.200 | 29312 | 35695 | 71 | 236
[19:45:38] 2.250 | 30768 | 36098 | 67 | 210
[19:45:38] 2.300 | 34107 | 38097 | 73 | 226
[19:45:38] 2.350 | 33916 | 35176 | 78 | 221
[19:45:38] 2.400 | 33160 | 44532 | 75 | 202
[19:45:38] 2.450 | 34707 | 33844 | 75 | 209
[19:45:38] 2.500 | 27500 | 35488 | 67 | 209
[19:45:38] ✅ Baseline complete. Starting main recording for 10 seconds...
[19:45:38] 2.550 | 31540 | 36163 | 77 | 218
[19:45:38] 0.050 | 32569 | 32936 | 63 | 222
[19:45:39] 0.100 | 30456 | 33237 | 86 | 214
[19:45:39] 0.150 | 34019 | 32182 | 85 | 218
[19:45:39] 0.200 | 31707 | 33814 | 65 | 216
[19:45:39] 0.250 | 34374 | 34117 | 70 | 212
[19:45:39] 0.300 | 32977 | 34741 | 81 | 221
[19:45:39] 0.350 | 32605 | 34003 | 60 | 221
[19:45:39] 0.400 | 33690 | 33435 | 73 | 211
[19:45:39] 0.450 | 32006 | 35140 | 62 | 224
[19:45:39] 0.500 | 31760 | 31515 | 66 | 238
[19:45:39] 0.550 | 37475 | 33588 | 69 | 213
[19:45:39] 0.600 | 34600 | 39635 | 74 | 224
[19:45:39] 0.650 | 29636 | 31428 | 68 | 236
[19:45:39] 0.700 | 28502 | 31258 | 62 | 209
[19:45:39] 0.750 | 31219 | 29426 | 75 | 218
[19:45:39] 0.800 | 30585 | 36046 | 60 | 236
