timestamped_line
[19:46:36] ▶ Starting baseline phase for 2.5 seconds...
[19:46:36] t (s) | A | B | C | D
[19:46:36] 0.051 | 35156 | 41826 | 90 | 2619
[19:46:36] 0.101 | 33819 | 37329 | 69 | 1859
[19:46:36] 0.151 | 33299 | 35406 | 68 | 2039
[19:46:36] 0.201 | 32470 | 36661 | 69 | 1743
[19:46:36] 0.251 | 31945 | 36210 | 69 | 1859
[19:46:36] 0.301 | 31389 | 31021 | 72 | 462
[19:46:36] 0.351 | 31759 | 34406 | 80 | 325
[19:46:36] 0.401 | 31095 | 39818 | 83 | 429
[19:46:36] 0.451 | 37125 | 38676 | 86 | 465
[19:46:36] 0.501 | 33185 | 36569 | 81 | 435
[19:46:37] 0.551 | 31402 | 36568 | 76 | 422
[19:46:37] 0.601 | 33518 | 31278 | 72 | 396
[19:46:37] 0.651 | 33084 | 35647 | 66 | 370
[19:46:37] 0.701 | 33062 | 36776 | 71 | 448
[19:46:37] 0.751 | 33429 | 34681 | 67 | 544
[19:46:37] 0.801 | 30234 | 34273 | 65 | 494
[19:46:37] 0.851 | 33604 | 37420 | 77 | 521
[19:46:37] 0.901 | 29336 | 37654 | 52 | 474
[19:46:37] 0.951 | 27725 | 32210 | 71 | 410
[19:46:37] 1.001 | 31457 | 37522 | 83 | 457
[19:46:37] 1.051 | 32566 | 37702 | 72 | 443
[19:46:37] 1.101 | 34183 | 35059 | 81 | 461
[19:46:37] 1.151 | 31964 | 30272 | 78 | 392
[19:46:37] 1.201 | 31199 | 34523 | 81 | 467
[19:46:37] 1.251 | 29161 | 33563 | 66 | 463
[19:46:37] 1.301 | 33623 | 34971 | 71 | 440
[19:46:37] 1.351 | 30443 | 35335 | 73 | 515
[19:46:37] 1.401 | 34031 | 33752 | 76 | 449
[19:46:37] 1.451 | 33622 | 37129 | 66 | 484
[19:46:37] 1.501 | 29387 | 34188 | 76 | 499
[19:46:38] 1.551 | 36366 | 36600 | 85 | 444
[19:46:38] 1.601 | 30849 | 31232 | 73 | 393
[19:46:38] 1.651 | 35513 | 35820 | 63 | 395
[19:46:38] 1.701 | 31599 | 34513 | 70 | 409
[19:46:38] 1.751 | 32242 | 34325 | 75 | 342
[19:46:38] 1.801 | 31570 | 36451 | 66 | 374
[19:46:38] 1.851 | 33721 | 36198 | 75 | 448
[19:46:38] 1.901 | 33721 | 34753 | 70 | 420
[19:46:38] 1.951 | 33567 | 31844 | 71 | 424
[19:46:38] 2.001 | 30977 | 33767 | 79 | 488
[19:46:38] 2.051 | 29673 | 35271 | 71 | 486
[19:46:38] 2.101 | 33819 | 37030 | 66 | 486
[19:46:38] 2.151 | 31528 | 31282 | 61 | 505
[19:46:38] 2.201 | 33770 | 39903 | 81 | 453
[19:46:38] 2.251 | 33403 | 37502 | 81 | 540
[19:46:38] 2.301 | 32346 | 33705 | 77 | 445
[19:46:38] 2.351 | 30084 | 34196 | 78 | 415
[19:46:38] 2.401 | 30515 | 33319 | 62 | 430
[19:46:38] 2.451 | 34699 | 38000 | 65 | 459
[19:46:38] ✅ Baseline complete. Starting main recording for 10 seconds...
[19:46:38] 2.501 | 31690 | 33958 | 79 | 1331
[19:46:39] 0.050 | 32075 | 31959 | 94 | 1378
[19:46:39] 0.100 | 32106 | 32773 | 72 | 1067
[19:46:39] 0.150 | 32179 | 34812 | 68 | 3411
[19:46:39] 0.200 | 33776 | 35058 | 70 | 4914
[19:46:39] 0.250 | 33851 | 33685 | 84 | 4756
[19:46:39] 0.300 | 34965 | 32350 | 68 | 3968
[19:46:39] 0.350 | 31194 | 36202 | 82 | 3359
[19:46:39] 0.400 | 34818 | 39209 | 73 | 2337
[19:46:39] 0.450 | 35388 | 36997 | 82 | 2728
[19:46:39] 0.500 | 32502 | 33727 | 84 | 549
[19:46:39] 0.550 | 37325 | 34707 | 82 | 5928
[19:46:39] 0.600 | 33768 | 34766 | 77 | 6463
[19:46:39] 0.650 | 34426 | 41022 | 75 | 7918
[19:46:39] 0.700 | 31747 | 37637 | 66 | 10608
[19:46:39] 0.750 | 31496 | 31348 | 76 | 14910
[19:46:39] 0.800 | 35697 | 39748 | 76 | 16845
[19:46:39] 0.850 | 39177 | 33752 | 78 | 20306
[19:46:39] 0.900 | 35520 | 36495 | 74 | 20826
