Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.35,20.654,1.011,1023,1023,1023
4.46,19.644,-1.011,1023,1023,1023
4.57,18.633,-1.011,1023,1023,1022
4.68,19.644,1.011,1023,1023,1023
5.30,18.633,-1.011,1023,1023,1023
5.42,19.644,1.011,1023,1023,1023
5.53,18.633,-1.011,1023,1023,1023
6.15,17.622,-1.011,1023,1023,1023
6.26,18.633,1.011,1023,1023,1023
6.37,19.644,1.011,1023,1023,1023
6.48,18.633,-1.011,1023,1023,1023
6.70,19.644,1.011,1023,1023,1023
6.81,18.633,-1.011,1023,1023,1023
6.92,19.644,1.011,1023,1023,1023
7.03,18.633,-1.011,1023,1023,1023
7.15,19.644,1.011,1023,1023,1023
7.36,18.633,-1.011,1023,1023,1023
7.88,19.644,1.011,1023,1023,1023
7.99,18.633,-1.011,1023,1023,1023
8.10,19.644,1.011,1023,1023,1023
8.21,18.633,-1.011,1023,1023,1023
8.43,19.644,1.011,1022,1023,1023
8.74,18.633,-1.011,1023,1023,1023
8.85,19.644,1.011,1023,1023,1023
9.07,18.633,-1.011,1023,1022,1023
9.18,19.644,1.011,1023,1023,1023
9.29,18.633,-1.011,1023,1023,1023
9.40,19.644,1.011,1023,1023,1023
9.52,18.633,-1.011,1023,1023,1023
9.63,19.644,1.011,1022,1023,1023
9.74,18.633,-1.011,1023,1023,1023
9.85,19.644,1.011,1023,1023,1023
10.17,18.633,-1.011,1023,1023,1023
10.28,19.644,1.011,1023,1023,1023
10.40,18.633,-1.011,1023,1023,1023
10.51,19.644,1.011,1023,1023,1023
10.62,18.633,-1.011,1023,1023,1023
10.84,19.644,1.011,1022,1023,1023
12.17,18.633,-1.011,1022,1023,1023
12.28,19.644,1.011,1023,1023,1023
12.49,18.633,-1.011,1023,1023,1023
12.61,19.644,1.011,1023,1023,1023
12.92,18.633,-1.011,1023,1023,1023
13.14,20.654,2.021,1023,1023,1023
13.25,19.644,-1.011,1023,1023,1023
13.47,18.633,-1.011,1023,1023,1023
13.58,19.644,1.011,1023,1023,1023
13.69,20.654,1.011,1023,1023,1023
13.81,19.644,-1.011,1023,1023,1023
14.02,18.633,-1.011,1023,1023,1023
14.13,19.644,1.011,1023,1023,1023
14.35,18.633,-1.011,1023,1023,1023
14.46,19.644,1.011,1023,1023,1023
14.68,20.654,1.011,1023,1023,1023
14.79,18.633,-2.021,1023,1023,1022
14.90,19.644,1.011,1023,1023,1023
15.02,18.633,-1.011,1023,1023,1023
15.13,19.644,1.011,1023,1023,1023
15.24,18.633,-1.011,1022,1023,1023
15.46,19.644,1.011,1023,1023,1023
15.77,18.633,-1.011,1023,1023,1023
15.89,19.644,1.011,1022,1023,1023
16.61,20.654,1.011,1023,1023,1023
16.72,19.644,-1.011,1023,1022,1023
16.83,18.633,-1.011,1023,1023,1023
16.95,19.644,1.011,1023,1023,1023
17.36,18.633,-1.011,1023,1023,1023
17.48,19.644,1.011,1023,1023,1023
17.69,18.633,-1.011,1023,1023,1023
17.81,19.644,1.011,1023,1023,1023
18.02,18.633,-1.011,1023,1023,1023
18.13,19.644,1.011,1023,1023,1023
18.25,18.633,-1.011,1023,1023,1023
18.46,19.644,1.011,1023,1023,1023
18.68,18.633,-1.011,1023,1023,1023
18.89,19.644,1.011,1023,1023,1023
19.00,18.633,-1.011,1023,1023,1023
19.12,19.644,1.011,1023,1023,1023
19.33,18.633,-1.011,1023,1023,1023
19.45,19.644,1.011,1023,1023,1023
19.56,17.622,-2.021,1023,1023,1023
19.67,18.633,1.011,1023,1023,1023
19.79,19.644,1.011,1023,1023,1023
20.00,18.633,-1.011,1023,1023,1023
20.11,19.644,1.011,1022,1023,1023
20.23,18.633,-1.011,1023,1023,1023
20.44,19.644,1.011,1023,1023,1023
20.55,18.633,-1.011,1023,1023,1023
20.67,19.644,1.011,1023,1023,1023
20.78,20.654,1.011,1023,1023,1023
20.89,18.633,-2.021,1023,1023,1023
21.31,19.644,1.011,1023,1023,1023
