Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.25,19.644,1.011,1023,1023,1023
4.36,18.633,-1.011,1023,1023,1023
4.67,19.644,1.011,1022,1023,1023
4.78,18.633,-1.011,1023,1023,1023
5.00,19.644,1.011,1023,1023,1023
5.11,18.633,-1.011,1023,1022,1023
5.32,19.644,1.011,1023,1023,1023
5.44,18.633,-1.011,1023,1023,1023
5.55,19.644,1.011,1023,1023,1023
5.66,18.633,-1.011,1023,1023,1023
5.77,19.644,1.011,1023,1023,1023
5.89,18.633,-1.011,1023,1023,1023
6.10,20.654,2.021,1022,1023,1023
6.21,18.633,-2.021,1023,1023,1023
6.63,19.644,1.011,1023,1023,1023
6.74,17.622,-2.021,1023,1023,1023
6.85,18.633,1.011,1022,1023,1023
7.07,19.644,1.011,1023,1023,1023
7.28,18.633,-1.011,1023,1023,1023
7.59,19.644,1.011,1022,1023,1022
7.71,18.633,-1.011,1023,1023,1023
8.02,19.644,1.011,1023,1023,1023
8.13,18.633,-1.011,1023,1023,1023
8.25,20.654,2.021,1023,1023,1023
8.36,18.633,-2.021,1023,1023,1023
8.47,19.644,1.011,1023,1022,1023
8.78,18.633,-1.011,1022,1023,1023
9.00,17.622,-1.011,1023,1023,1023
9.11,18.633,1.011,1023,1023,1023
9.43,17.622,-1.011,1023,1023,1023
9.54,18.633,1.011,1023,1023,1023
9.75,19.644,1.011,1023,1023,1023
9.97,18.633,-1.011,1023,1023,1023
10.28,19.644,1.011,1023,1023,1023
10.49,20.654,1.011,1023,1022,1023
10.61,16.611,-4.043,1023,1023,1023
10.92,17.622,1.011,1023,1023,1023
11.04,16.611,-1.011,1022,1022,1023
11.25,17.622,1.011,1023,1023,1023
11.36,16.611,-1.011,1023,1023,1023
