timestamped_line
"[13:41:22] Ready. Type 's' to start logging, 'e' to stop."
[13:41:22] Sensor Info:
[13:41:22] Sensor ID: 50
[13:41:22] Sensor Name: FORCE PLATE 850
[13:41:22] Units: N
[13:41:22] ▶️ START LOGGING
"[13:41:22] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[13:41:22] 4.25, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:22] 4.36, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:22] 4.67, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[13:41:23] 4.78, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:23] 5.00, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:23] 5.11, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[13:41:23] 5.32, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:23] 5.44, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:23] 5.55, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:23] 5.66, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:24] 5.77, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:24] 5.89, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:24] 6.10, Force(N): 20.654, ΔF(N): 2.021, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[13:41:24] 6.21, Force(N): 18.633, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:24] 6.63, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:25] 6.74, Force(N): 17.622, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:25] 6.85, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[13:41:25] 7.07, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:25] 7.28, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:25] 7.59, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1022"
"[13:41:25] 7.71, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:26] 8.02, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:26] 8.13, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:26] 8.25, Force(N): 20.654, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:26] 8.36, Force(N): 18.633, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:26] 8.47, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[13:41:27] 8.78, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[13:41:27] 9.00, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:27] 9.11, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:27] 9.43, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:27] 9.54, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:28] 9.75, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:28] 9.97, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:28] 10.28, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:28] 10.49, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[13:41:28] 10.61, Force(N): 16.611, ΔF(N): -4.043, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:29] 10.92, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:29] 11.04, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 1023"
"[13:41:29] 11.25, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:41:29] 11.36, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
