timestamped_line
[11:37:57] ▶ Starting baseline phase for 2.5 seconds...
[11:37:57] t (s) | A | B | C | D
[11:37:57] 0.050 | 31688 | 31429 | 66 | 12327
[11:37:57] 0.100 | 27535 | 32503 | 83 | 12325
[11:37:57] 0.150 | 32878 | 33271 | 77 | 12308
[11:37:58] 0.200 | 25627 | 32706 | 82 | 12290
[11:37:58] 0.250 | 27117 | 34011 | 66 | 12328
[11:37:58] 0.300 | 28315 | 36177 | 57 | 12319
[11:37:58] 0.350 | 27352 | 30081 | 64 | 12330
[11:37:58] 0.400 | 30863 | 35523 | 71 | 12327
[11:37:58] 0.450 | 33465 | 32393 | 72 | 12324
[11:37:58] 0.500 | 32800 | 29995 | 83 | 12329
[11:37:58] 0.550 | 33258 | 35526 | 81 | 12338
[11:37:58] 0.600 | 33034 | 28785 | 72 | 12339
[11:37:58] 0.650 | 30804 | 32841 | 53 | 12351
[11:37:58] 0.700 | 27162 | 32457 | 72 | 12329
[11:37:58] 0.750 | 27731 | 32867 | 68 | 12335
[11:37:58] 0.800 | 32404 | 31954 | 63 | 12341
[11:37:58] 0.850 | 30840 | 29053 | 63 | 12337
[11:37:58] 0.900 | 29632 | 27222 | 58 | 12345
[11:37:58] 0.950 | 32306 | 30562 | 79 | 12339
[11:37:58] 1.000 | 31300 | 32999 | 66 | 12342
[11:37:58] 1.050 | 28970 | 30907 | 86 | 12363
[11:37:58] 1.100 | 29447 | 30620 | 52 | 12347
[11:37:58] 1.150 | 28956 | 28873 | 57 | 12351
[11:37:59] 1.200 | 32983 | 33631 | 77 | 12366
[11:37:59] 1.250 | 32181 | 32356 | 73 | 12335
[11:37:59] 1.300 | 26438 | 37007 | 69 | 12359
[11:37:59] 1.350 | 27952 | 31064 | 57 | 12350
[11:37:59] 1.400 | 26250 | 33087 | 56 | 12364
[11:37:59] 1.450 | 29610 | 31301 | 93 | 12342
[11:37:59] 1.500 | 28673 | 29792 | 78 | 12357
[11:37:59] 1.550 | 23544 | 31308 | 73 | 12366
[11:37:59] 1.600 | 33818 | 28292 | 63 | 12355
[11:37:59] 1.650 | 33936 | 31707 | 64 | 12361
[11:37:59] 1.700 | 28950 | 30031 | 67 | 12359
[11:37:59] 1.750 | 30340 | 39417 | 76 | 12366
[11:37:59] 1.800 | 34055 | 31246 | 65 | 12358
[11:37:59] 1.850 | 31138 | 33527 | 76 | 12357
[11:37:59] 1.900 | 29697 | 37234 | 75 | 12371
[11:37:59] 1.950 | 34157 | 29210 | 65 | 12369
[11:37:59] 2.000 | 33324 | 27902 | 65 | 12366
[11:37:59] 2.050 | 25969 | 26775 | 61 | 12363
[11:37:59] 2.100 | 32186 | 34099 | 71 | 12354
[11:37:59] 2.150 | 28228 | 31447 | 76 | 12368
[11:38:00] 2.200 | 32896 | 32427 | 59 | 12382
[11:38:00] 2.250 | 31578 | 31839 | 65 | 12377
[11:38:00] 2.300 | 31923 | 31894 | 69 | 12383
[11:38:00] 2.350 | 28289 | 34613 | 72 | 12379
[11:38:00] 2.400 | 29026 | 31118 | 69 | 12381
[11:38:00] 2.450 | 34782 | 31969 | 71 | 12382
[11:38:00] 2.500 | 31042 | 31963 | 77 | 12374
[11:38:00] ✅ Baseline complete. Starting main recording for 10 seconds...
[11:38:00] 2.550 | 32972 | 29881 | 76 | 12407
[11:38:00] 0.050 | 31020 | 34808 | 76 | 12385
[11:38:00] 0.100 | 32492 | 29921 | 76 | 12389
[11:38:00] 0.150 | 29862 | 27618 | 75 | 12380
[11:38:00] 0.200 | 32704 | 28099 | 82 | 12388
[11:38:00] 0.250 | 33745 | 35441 | 77 | 12386
[11:38:00] 0.300 | 28380 | 30463 | 69 | 12403
[11:38:00] 0.350 | 26438 | 31822 | 67 | 12392
[11:38:00] 0.400 | 23432 | 35690 | 73 | 12385
[11:38:00] 0.450 | 26880 | 28125 | 64 | 12394
[11:38:00] 0.500 | 33059 | 31096 | 60 | 12408
[11:38:00] 0.550 | 29753 | 31372 | 74 | 12406
[11:38:00] 0.600 | 31747 | 37103 | 69 | 12419
[11:38:01] 0.650 | 32539 | 34409 | 83 | 12419
[11:38:01] 0.700 | 31397 | 31199 | 79 | 12413
[11:38:01] 0.750 | 31888 | 31543 | 81 | 12405
[11:38:01] 0.800 | 29108 | 35659 | 70 | 12401
[11:38:01] 0.850 | 30867 | 28221 | 71 | 12394
[11:38:01] 0.900 | 30530 | 29217 | 59 | 12416
[11:38:01] 0.950 | 28107 | 30241 | 71 | 12407
[11:38:01] 1.000 | 32857 | 28569 | 75 | 12413
[11:38:01] 1.050 | 32434 | 32664 | 63 | 12408
