timestamped_line
[11:50:38] ▶ Starting baseline phase for 2.5 seconds...
[11:50:38] t (s) | A | B | C | D
[11:50:38] 0.050 | 33939 | 35900 | 70 | 41318
[11:50:38] 0.100 | 32791 | 30967 | 81 | 41355
[11:50:38] 0.150 | 28582 | 33191 | 103 | 41361
[11:50:38] 0.200 | 34383 | 34429 | 66 | 41191
[11:50:38] 0.250 | 37421 | 32526 | 88 | 41172
[11:50:38] 0.300 | 34736 | 35448 | 75 | 41194
[11:50:38] 0.350 | 34654 | 33715 | 74 | 41182
[11:50:38] 0.400 | 35028 | 29188 | 85 | 41185
[11:50:38] 0.450 | 34246 | 32037 | 92 | 41171
[11:50:38] 0.500 | 31510 | 35862 | 100 | 41178
[11:50:38] 0.550 | 33982 | 33051 | 70 | 41241
[11:50:38] 0.600 | 31826 | 35838 | 74 | 41237
[11:50:38] 0.650 | 34712 | 32207 | 69 | 41235
[11:50:39] 0.700 | 33408 | 30758 | 73 | 41233
[11:50:39] 0.750 | 36677 | 36472 | 100 | 41260
[11:50:39] 0.800 | 37969 | 35813 | 69 | 41296
[11:50:39] 0.850 | 31482 | 33948 | 77 | 41318
[11:50:39] 0.900 | 32916 | 33500 | 80 | 41463
[11:50:39] 0.950 | 32963 | 32861 | 76 | 41490
[11:50:39] 1.000 | 31344 | 31572 | 70 | 41543
[11:50:39] 1.050 | 33880 | 31531 | 67 | 41558
[11:50:39] 1.100 | 34026 | 31251 | 90 | 41568
[11:50:39] 1.150 | 33718 | 31614 | 92 | 41564
[11:50:39] 1.200 | 30236 | 33306 | 83 | 41518
[11:50:39] 1.250 | 36009 | 32697 | 76 | 41519
[11:50:39] 1.300 | 30294 | 37129 | 82 | 41524
[11:50:39] 1.350 | 35275 | 34669 | 90 | 41523
[11:50:39] 1.400 | 32968 | 34393 | 73 | 41514
[11:50:39] 1.450 | 28607 | 31735 | 103 | 41486
[11:50:39] 1.500 | 36872 | 32400 | 78 | 41498
[11:50:39] 1.550 | 31443 | 28584 | 88 | 41509
[11:50:39] 1.600 | 33785 | 34136 | 75 | 41505
[11:50:39] 1.650 | 37615 | 34514 | 88 | 41497
[11:50:40] 1.700 | 34270 | 35186 | 73 | 41493
[11:50:40] 1.750 | 32973 | 33679 | 73 | 41520
[11:50:40] 1.800 | 32782 | 32608 | 70 | 41510
[11:50:40] 1.850 | 38204 | 33535 | 62 | 41506
[11:50:40] 1.900 | 32741 | 33672 | 78 | 41487
[11:50:40] 1.950 | 34865 | 32548 | 64 | 41484
[11:50:40] 2.000 | 31720 | 35704 | 89 | 41517
[11:50:40] 2.050 | 35740 | 36193 | 91 | 41525
[11:50:40] 2.100 | 34675 | 30098 | 95 | 41548
[11:50:40] 2.150 | 35012 | 37076 | 87 | 41570
[11:50:40] 2.200 | 34377 | 33713 | 83 | 41560
[11:50:40] 2.250 | 32018 | 36712 | 62 | 41575
[11:50:40] 2.300 | 31424 | 31987 | 76 | 41589
[11:50:40] 2.350 | 28595 | 31637 | 80 | 41616
[11:50:40] 2.400 | 33484 | 31334 | 66 | 41624
[11:50:40] 2.450 | 35799 | 30853 | 86 | 41624
[11:50:40] 2.500 | 30932 | 34537 | 90 | 41690
[11:50:40] ✅ Baseline complete. Starting main recording for 10 seconds...
[11:50:40] 2.550 | 29814 | 33198 | 94 | 41713
[11:50:40] 0.050 | 31763 | 36794 | 90 | 41713
[11:50:40] 0.100 | 33960 | 31412 | 77 | 41735
[11:50:41] 0.150 | 34838 | 30517 | 78 | 41733
[11:50:41] 0.200 | 35006 | 32979 | 68 | 41758
[11:50:41] 0.250 | 30810 | 35792 | 78 | 41767
[11:50:41] 0.300 | 31830 | 29952 | 91 | 41788
[11:50:41] 0.350 | 29955 | 33194 | 86 | 41797
[11:50:41] 0.400 | 37056 | 29077 | 88 | 41786
[11:50:41] 0.450 | 34201 | 33540 | 79 | 41795
[11:50:41] 0.500 | 39632 | 34868 | 100 | 41799
[11:50:41] 0.550 | 37135 | 31797 | 83 | 41809
[11:50:41] 0.600 | 35588 | 36657 | 100 | 41782
[11:50:41] 0.650 | 32569 | 34602 | 78 | 41776
[11:50:41] 0.700 | 33742 | 29710 | 78 | 41765
[11:50:41] 0.750 | 33865 | 30840 | 67 | 41750
[11:50:41] 0.800 | 32775 | 30972 | 90 | 41754
[11:50:41] 0.850 | 36895 | 30953 | 97 | 41775
[11:50:41] 0.900 | 31742 | 33857 | 92 | 41770
