timestamped_line
[12:07:04] ▶ Starting baseline phase for 2.5 seconds...
[12:07:04] t (s) | A | B | C | D
[12:07:04] 0.050 | 31396 | 33711 | 78 | 50326
[12:07:04] 0.100 | 40346 | 30603 | 87 | 50346
[12:07:04] 0.150 | 33041 | 33446 | 102 | 50362
[12:07:04] 0.200 | 34204 | 36288 | 72 | 50371
[12:07:04] 0.250 | 33760 | 31456 | 106 | 50351
[12:07:04] 0.300 | 37861 | 35840 | 65 | 50389
[12:07:04] 0.350 | 34057 | 27798 | 73 | 50332
[12:07:04] 0.400 | 34834 | 29763 | 90 | 50346
[12:07:05] 0.450 | 30842 | 31933 | 79 | 50342
[12:07:05] 0.500 | 31805 | 31960 | 62 | 50347
[12:07:05] 0.550 | 35973 | 33870 | 85 | 50350
[12:07:05] 0.600 | 41045 | 31879 | 78 | 50349
[12:07:05] 0.650 | 35998 | 30387 | 75 | 50370
[12:07:05] 0.700 | 35435 | 34891 | 65 | 50372
[12:07:05] 0.750 | 36330 | 35374 | 79 | 50381
[12:07:05] 0.800 | 34891 | 35651 | 87 | 50361
[12:07:05] 0.850 | 33903 | 34404 | 71 | 50377
[12:07:05] 0.900 | 35400 | 30276 | 75 | 50396
[12:07:05] 0.950 | 32161 | 32624 | 95 | 50379
[12:07:05] 1.000 | 37052 | 33093 | 70 | 50418
[12:07:05] 1.050 | 38667 | 26920 | 73 | 50441
[12:07:05] 1.100 | 33307 | 35233 | 86 | 50430
[12:07:05] 1.150 | 36760 | 27838 | 107 | 50441
[12:07:05] 1.200 | 36591 | 39156 | 79 | 50439
[12:07:05] 1.250 | 38823 | 30081 | 79 | 50455
[12:07:05] 1.300 | 34558 | 31564 | 73 | 50464
[12:07:05] 1.350 | 32117 | 33084 | 70 | 50446
[12:07:05] 1.400 | 37911 | 29838 | 78 | 50451
[12:07:06] 1.450 | 32164 | 31186 | 82 | 50461
[12:07:06] 1.500 | 37885 | 34418 | 85 | 50467
[12:07:06] 1.550 | 34130 | 32729 | 88 | 50467
[12:07:06] 1.600 | 35491 | 30732 | 96 | 50461
[12:07:06] 1.650 | 31101 | 36886 | 88 | 50494
[12:07:06] 1.700 | 34608 | 32243 | 96 | 50468
[12:07:06] 1.750 | 34501 | 32118 | 91 | 50482
[12:07:06] 1.800 | 35887 | 35038 | 74 | 50466
[12:07:06] 1.850 | 34200 | 33376 | 83 | 50493
[12:07:06] 1.900 | 34269 | 33203 | 79 | 50525
[12:07:06] 1.950 | 34277 | 37879 | 69 | 50494
[12:07:06] 2.000 | 35984 | 28883 | 65 | 50508
[12:07:06] 2.050 | 38712 | 33649 | 79 | 50501
[12:07:06] 2.100 | 37872 | 32443 | 85 | 50482
[12:07:06] 2.150 | 33678 | 33527 | 71 | 50491
[12:07:06] 2.200 | 33378 | 30602 | 67 | 50512
[12:07:06] 2.250 | 34076 | 34660 | 87 | 50522
[12:07:06] 2.300 | 35595 | 35029 | 73 | 50536
[12:07:06] 2.350 | 35880 | 34739 | 94 | 50501
[12:07:06] 2.400 | 30264 | 26150 | 85 | 50518
[12:07:07] 2.450 | 36992 | 32448 | 93 | 50530
[12:07:07] 2.500 | 34925 | 33935 | 86 | 50543
[12:07:07] ✅ Baseline complete. Starting main recording for 10 seconds...
[12:07:07] 2.550 | 33739 | 32166 | 80 | 50555
[12:07:07] 0.050 | 31414 | 31768 | 87 | 50572
[12:07:07] 0.100 | 34739 | 35176 | 67 | 50561
[12:07:07] 0.150 | 34490 | 35281 | 85 | 50551
[12:07:07] 0.200 | 36837 | 35379 | 69 | 50549
