timestamped_line
[11:18:16] ▶ Starting baseline phase for 2.5 seconds...
[11:18:16] t (s) | A | B | C | D
[11:18:16] 0.050 | 33534 | 36710 | 80 | 31232
[11:18:16] 0.100 | 31875 | 31350 | 94 | 31270
[11:18:16] 0.150 | 34189 | 32030 | 57 | 31294
[11:18:16] 0.200 | 37641 | 35943 | 80 | 31230
[11:18:17] 0.250 | 32527 | 30598 | 84 | 31188
[11:18:17] 0.300 | 33288 | 32127 | 69 | 31161
[11:18:17] 0.350 | 32295 | 34298 | 93 | 31244
[11:18:17] 0.400 | 39267 | 30134 | 89 | 31234
[11:18:17] 0.450 | 34374 | 33590 | 90 | 31264
[11:18:17] 0.500 | 37720 | 37208 | 84 | 31182
[11:18:17] 0.550 | 32739 | 32011 | 65 | 31231
[11:18:17] 0.600 | 31236 | 30685 | 78 | 31281
[11:18:17] 0.650 | 31955 | 40234 | 84 | 31275
[11:18:17] 0.700 | 30923 | 29926 | 71 | 31301
[11:18:17] 0.750 | 34493 | 32120 | 95 | 31354
[11:18:17] 0.800 | 35366 | 32882 | 81 | 31366
[11:18:17] 0.850 | 32348 | 31560 | 83 | 31366
[11:18:17] 0.900 | 35712 | 31590 | 91 | 31413
[11:18:17] 0.950 | 32509 | 32190 | 92 | 31365
[11:18:17] 1.000 | 30533 | 31620 | 106 | 31332
[11:18:17] 1.050 | 30593 | 33611 | 70 | 31258
[11:18:17] 1.100 | 31736 | 37008 | 86 | 31215
[11:18:17] 1.150 | 32633 | 36780 | 80 | 31359
[11:18:17] 1.200 | 33578 | 34099 | 71 | 31341
[11:18:18] 1.250 | 31002 | 34385 | 92 | 31274
[11:18:18] 1.300 | 31406 | 33093 | 66 | 31277
[11:18:18] 1.350 | 36420 | 31674 | 82 | 31308
[11:18:18] 1.400 | 31864 | 27716 | 78 | 31307
[11:18:18] 1.450 | 31445 | 35239 | 97 | 31254
[11:18:18] 1.500 | 27211 | 32612 | 86 | 31277
[11:18:18] 1.550 | 28696 | 31051 | 86 | 31250
[11:18:18] 1.600 | 31335 | 33540 | 85 | 31227
[11:18:18] 1.650 | 29340 | 35296 | 69 | 31248
[11:18:18] 1.700 | 32506 | 34607 | 113 | 31284
[11:18:18] 1.750 | 29627 | 29029 | 87 | 31265
[11:18:18] 1.800 | 34602 | 32446 | 86 | 31248
[11:18:18] 1.850 | 31411 | 30297 | 79 | 31201
[11:18:18] 1.900 | 30808 | 30192 | 76 | 31206
[11:18:18] 1.950 | 36139 | 34285 | 70 | 31280
[11:18:18] 2.000 | 32145 | 30886 | 69 | 31270
[11:18:18] 2.050 | 35127 | 31253 | 83 | 31279
[11:18:18] 2.100 | 31559 | 30564 | 92 | 31219
[11:18:18] 2.150 | 30138 | 37034 | 74 | 31207
[11:18:18] 2.200 | 33160 | 32395 | 76 | 31174
[11:18:19] 2.250 | 31108 | 29398 | 86 | 31159
[11:18:19] 2.300 | 30462 | 26289 | 72 | 31122
[11:18:19] 2.350 | 31540 | 25592 | 86 | 31111
[11:18:19] 2.400 | 31371 | 35166 | 81 | 31098
[11:18:19] 2.450 | 31767 | 34377 | 62 | 31090
[11:18:19] 2.500 | 31119 | 30378 | 73 | 31000
[11:18:19] ✅ Baseline complete. Starting main recording for 10 seconds...
[11:18:19] 2.550 | 31290 | 31050 | 67 | 30969
[11:18:19] 0.050 | 34621 | 40423 | 85 | 30896
[11:18:19] 0.100 | 31279 | 35624 | 61 | 30910
[11:18:19] 0.150 | 27644 | 32633 | 59 | 30891
[11:18:19] 0.200 | 32304 | 32995 | 68 | 30904
[11:18:19] 0.250 | 30183 | 33012 | 75 | 30888
[11:18:19] 0.300 | 31003 | 31707 | 69 | 30904
[11:18:19] 0.350 | 35141 | 30236 | 91 | 30905
[11:18:19] 0.400 | 33084 | 33584 | 74 | 30896
[11:18:19] 0.450 | 35719 | 31593 | 85 | 30928
[11:18:19] 0.500 | 32088 | 33194 | 55 | 30892
[11:18:19] 0.550 | 34701 | 26502 | 83 | 30846
[11:18:19] 0.600 | 30661 | 30019 | 74 | 30831
[11:18:19] 0.650 | 29764 | 33882 | 95 | 30824
[11:18:20] 0.700 | 29544 | 31591 | 62 | 30751
[11:18:20] 0.750 | 34582 | 32282 | 72 | 30767
[11:18:20] 0.800 | 36197 | 34985 | 71 | 30724
[11:18:20] 0.850 | 30544 | 33472 | 94 | 30695
[11:18:20] 0.900 | 29500 | 37445 | 81 | 30732
[11:18:20] 0.950 | 33827 | 28998 | 85 | 30690
[11:18:20] 1.000 | 32486 | 36551 | 89 | 30651
[11:18:20] 1.050 | 34212 | 39948 | 90 | 30584
[11:18:20] 1.100 | 27771 | 29394 | 82 | 30557
[11:18:20] 1.150 | 37890 | 34753 | 84 | 30564
[11:18:20] 1.200 | 36564 | 29758 | 89 | 30531
[11:18:20] 1.250 | 33706 | 32137 | 80 | 30527
[11:18:20] 1.300 | 30403 | 34032 | 86 | 30574
[11:18:20] 1.350 | 32025 | 32061 | 68 | 30560
[11:18:20] 1.400 | 33280 | 34794 | 61 | 30626
[11:18:20] 1.450 | 31654 | 33876 | 75 | 30707
[11:18:20] 1.500 | 33042 | 23375 | 74 | 30699
[11:18:20] 1.550 | 30077 | 31391 | 73 | 30679
[11:18:20] 1.600 | 29419 | 30989 | 78 | 30629
[11:18:20] 1.650 | 30853 | 32391 | 75 | 30686
[11:18:21] 1.700 | 32154 | 31994 | 71 | 30601
[11:18:21] 1.750 | 35407 | 34661 | 66 | 30551
[11:18:21] 1.800 | 35786 | 33271 | 81 | 30626
[11:18:21] 1.850 | 29135 | 31047 | 84 | 30698
[11:18:21] 1.900 | 33378 | 36430 | 66 | 30668
[11:18:21] 1.950 | 34275 | 27719 | 62 | 30689
[11:18:21] 2.000 | 29506 | 30760 | 79 | 30675
[11:18:21] 2.050 | 31575 | 32871 | 86 | 30689
[11:18:21] 2.100 | 33928 | 31932 | 89 | 30672
[11:18:21] 2.150 | 31912 | 31681 | 81 | 30791
[11:18:21] 2.200 | 31377 | 32068 | 73 | 30831
[11:18:21] 2.250 | 33045 | 33115 | 80 | 30789
[11:18:21] 2.300 | 32428 | 33172 | 68 | 30743
[11:18:21] 2.350 | 33592 | 31832 | 75 | 30705
[11:18:21] 2.400 | 27634 | 31836 | 84 | 30607
[11:18:21] 2.450 | 32483 | 33594 | 74 | 30581
[11:18:21] 2.500 | 30817 | 31474 | 95 | 30553
[11:18:21] 2.550 | 35204 | 36068 | 84 | 30523
[11:18:21] 2.600 | 29970 | 34565 | 68 | 30473
[11:18:21] 2.650 | 33260 | 31153 | 91 | 30414
[11:18:22] 2.700 | 32173 | 30306 | 70 | 30421
[11:18:22] 2.750 | 35280 | 31159 | 98 | 30459
[11:18:22] 2.800 | 34610 | 29866 | 82 | 30506
[11:18:22] 2.850 | 33977 | 33385 | 75 | 30459
[11:18:22] 2.900 | 30912 | 34753 | 69 | 30485
[11:18:22] 2.950 | 32192 | 33443 | 84 | 30452
[11:18:22] 3.000 | 30536 | 27237 | 76 | 30438
[11:18:22] 3.050 | 30019 | 32891 | 95 | 30268
[11:18:22] 3.100 | 29411 | 31004 | 91 | 30211
[11:18:22] 3.150 | 36084 | 29134 | 72 | 30175
[11:18:22] 3.200 | 32414 | 30233 | 95 | 30125
[11:18:22] 3.250 | 32242 | 36300 | 78 | 30085
[11:18:22] 3.300 | 39494 | 35249 | 79 | 30063
[11:18:22] 3.350 | 34431 | 29939 | 80 | 30046
[11:18:22] 3.400 | 30085 | 31425 | 81 | 29926
[11:18:22] 3.450 | 29312 | 33060 | 93 | 30079
[11:18:22] 3.500 | 34941 | 28386 | 75 | 30020
[11:18:22] 3.550 | 31137 | 34058 | 77 | 30028
[11:18:22] 3.600 | 34766 | 31591 | 98 | 29957
[11:18:22] 3.650 | 31555 | 36812 | 75 | 29983
[11:18:23] 3.700 | 31305 | 29930 | 85 | 30068
[11:18:23] 3.750 | 32401 | 32571 | 69 | 30013
[11:18:23] 3.800 | 34453 | 31628 | 84 | 30003
[11:18:23] 3.850 | 35626 | 32550 | 82 | 30001
[11:18:23] 3.900 | 33825 | 32695 | 72 | 29987
[11:18:23] 3.950 | 34448 | 29950 | 77 | 30028
[11:18:23] 4.000 | 30560 | 36955 | 78 | 30023
[11:18:23] 4.050 | 34583 | 37147 | 78 | 30092
[11:18:23] 4.100 | 34353 | 28768 | 67 | 30078
[11:18:23] 4.150 | 29834 | 34465 | 77 | 30056
[11:18:23] 4.200 | 33426 | 30141 | 76 | 29985
[11:18:23] 4.250 | 32506 | 34464 | 94 | 29975
[11:18:23] 4.300 | 33834 | 35393 | 82 | 30007
[11:18:23] 4.350 | 35912 | 32068 | 59 | 30048
[11:18:23] 4.400 | 29025 | 31077 | 64 | 30069
[11:18:23] 4.450 | 28215 | 30814 | 80 | 30156
[11:18:23] 4.500 | 34924 | 33560 | 96 | 30117
[11:18:23] 4.550 | 33998 | 34145 | 85 | 30197
[11:18:23] 4.600 | 35268 | 31854 | 73 | 30205
[11:18:23] 4.650 | 33805 | 30147 | 89 | 30216
[11:18:24] 4.700 | 30314 | 27855 | 78 | 30282
[11:18:24] 4.750 | 29409 | 32190 | 93 | 30323
[11:18:24] 4.800 | 34664 | 26980 | 76 | 30379
[11:18:24] 4.850 | 33621 | 30334 | 91 | 30384
[11:18:24] 4.900 | 35628 | 32658 | 79 | 30395
[11:18:24] 4.950 | 32059 | 39377 | 79 | 30376
[11:18:24] 5.000 | 30112 | 31235 | 85 | 30355
[11:18:24] 5.050 | 32320 | 28100 | 66 | 30366
[11:18:24] 5.100 | 34344 | 34110 | 85 | 30393
[11:18:24] 5.150 | 31664 | 30942 | 87 | 30403
[11:18:24] 5.200 | 33260 | 30006 | 92 | 30457
[11:18:24] 5.250 | 31014 | 29183 | 73 | 30482
[11:18:24] 5.300 | 30209 | 30883 | 62 | 30416
[11:18:24] 5.350 | 28857 | 32136 | 83 | 30388
[11:18:24] 5.400 | 33035 | 31000 | 86 | 30408
[11:18:24] 5.450 | 33838 | 32099 | 67 | 30433
[11:18:24] 5.500 | 33156 | 33471 | 97 | 30422
[11:18:24] 5.550 | 30906 | 29144 | 83 | 30474
[11:18:24] 5.600 | 35720 | 35285 | 84 | 30476
[11:18:24] 5.650 | 36639 | 29489 | 92 | 30409
[11:18:25] 5.700 | 33864 | 31043 | 79 | 30426
[11:18:25] 5.750 | 32696 | 32984 | 69 | 30376
[11:18:25] 5.800 | 32914 | 36131 | 75 | 30299
[11:18:25] 5.850 | 30412 | 32905 | 88 | 30308
[11:18:25] 5.900 | 30253 | 33647 | 86 | 30276
[11:18:25] 5.950 | 32279 | 32229 | 82 | 30264
[11:18:25] 6.000 | 33521 | 25674 | 84 | 30331
[11:18:25] 6.050 | 33752 | 30342 | 73 | 30328
[11:18:25] 6.100 | 31330 | 31127 | 92 | 30285
[11:18:25] 6.150 | 31619 | 30831 | 82 | 30277
[11:18:25] 6.200 | 36577 | 35811 | 94 | 30294
[11:18:25] 6.250 | 28157 | 30018 | 84 | 30292
[11:18:25] 6.300 | 31822 | 30747 | 102 | 30253
[11:18:25] 6.350 | 30699 | 32407 | 53 | 30250
[11:18:25] 6.400 | 36222 | 31922 | 89 | 30203
[11:18:25] 6.450 | 31382 | 31078 | 85 | 30246
