timestamped_line
[11:28:42] ▶ Starting baseline phase for 2.5 seconds...
[11:28:42] t (s) | A | B | C | D
[11:28:42] 0.050 | 36436 | 40759 | 78 | 21023
[11:28:42] 0.100 | 32448 | 36042 | 66 | 21042
[11:28:42] 0.150 | 31351 | 32197 | 64 | 21059
[11:28:42] 0.200 | 30374 | 35219 | 73 | 21007
[11:28:42] 0.250 | 30150 | 34127 | 49 | 20996
[11:28:42] 0.300 | 32664 | 36239 | 66 | 20972
[11:28:42] 0.350 | 31553 | 27796 | 73 | 20982
[11:28:42] 0.400 | 32231 | 29246 | 69 | 20980
[11:28:43] 0.450 | 29790 | 24618 | 73 | 20977
[11:28:43] 0.500 | 26928 | 33931 | 84 | 20981
[11:28:43] 0.550 | 30434 | 29943 | 66 | 20959
[11:28:43] 0.600 | 31880 | 29565 | 60 | 20959
[11:28:43] 0.650 | 30042 | 32545 | 89 | 20981
[11:28:43] 0.700 | 33826 | 37848 | 81 | 20979
[11:28:43] 0.750 | 31990 | 29179 | 80 | 20967
[11:28:43] 0.800 | 37496 | 28343 | 74 | 20990
[11:28:43] 0.850 | 23562 | 30171 | 74 | 20999
[11:28:43] 0.900 | 31762 | 33582 | 65 | 20961
[11:28:43] 0.950 | 32010 | 33609 | 98 | 20953
[11:28:43] 1.000 | 33548 | 34058 | 55 | 20980
[11:28:43] 1.050 | 29288 | 29593 | 71 | 20975
[11:28:43] 1.100 | 30480 | 28043 | 56 | 20984
[11:28:43] 1.150 | 30243 | 32666 | 82 | 20983
[11:28:43] 1.200 | 29932 | 35812 | 65 | 21005
[11:28:43] 1.250 | 30649 | 32135 | 96 | 21038
[11:28:43] 1.300 | 30005 | 31218 | 76 | 21043
[11:28:43] 1.350 | 27404 | 29307 | 71 | 21080
[11:28:44] 1.400 | 26768 | 31991 | 72 | 21104
[11:28:44] 1.450 | 32279 | 31205 | 73 | 21118
[11:28:44] 1.500 | 30184 | 29263 | 80 | 21130
[11:28:44] 1.550 | 30128 | 29398 | 72 | 21149
[11:28:44] 1.600 | 33150 | 30563 | 73 | 21144
[11:28:44] 1.650 | 29134 | 26508 | 86 | 21173
[11:28:44] 1.700 | 28241 | 32622 | 80 | 21143
[11:28:44] 1.750 | 27055 | 30011 | 87 | 21164
[11:28:44] 1.800 | 28771 | 27732 | 56 | 21177
[11:28:44] 1.850 | 30418 | 30895 | 59 | 21181
[11:28:44] 1.900 | 30453 | 30858 | 75 | 21185
[11:28:44] 1.950 | 28762 | 31211 | 76 | 21203
[11:28:44] 2.000 | 35266 | 36661 | 71 | 21191
[11:28:44] 2.050 | 29242 | 34630 | 74 | 21182
[11:28:44] 2.100 | 32803 | 32809 | 71 | 21176
[11:28:44] 2.150 | 30850 | 32776 | 92 | 21167
[11:28:44] 2.200 | 31079 | 31052 | 59 | 21163
[11:28:44] 2.250 | 29723 | 32627 | 82 | 21163
[11:28:44] 2.300 | 27832 | 33956 | 81 | 21174
[11:28:44] 2.350 | 30887 | 30821 | 70 | 21177
[11:28:45] 2.400 | 32320 | 30282 | 79 | 21169
