timestamped_line
"[16:10:08] Ready. Type 's' to start logging, 'e' to stop."
[16:10:08] Sensor Info:
[16:10:08] Sensor ID: 50
[16:10:08] Sensor Name: FORCE PLATE 850
[16:10:08] Units: N
[16:10:08] ▶️ START LOGGING
"[16:10:08] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[16:10:09] 4.35, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:10:09] 4.46, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:10:09] 4.57, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:10:09] 4.68, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1022"
"[16:10:10] 5.30, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:10:10] 5.42, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:10:10] 5.53, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1021"
"[16:10:10] 5.64, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:10:10] 6.05, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:10:10] 6.17, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[16:10:11] 6.38, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[16:10:11] 6.49, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 1022"
"[16:10:11] 6.61, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[16:10:11] 6.72, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:10:11] 6.83, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:10:11] 7.15, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 988"
"[16:10:12] 7.26, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 984"
"[16:10:12] 7.47, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 935"
"[16:10:12] 7.58, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 933"
"[16:10:12] 7.69, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 932"
"[16:10:12] 7.90, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 913"
"[16:10:13] 8.32, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 929"
"[16:10:13] 8.43, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 932"
"[16:10:13] 8.74, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 919"
"[16:10:13] 8.96, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 917"
"[16:10:13] 9.17, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 912"
"[16:10:14] 9.28, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 904"
"[16:10:14] 9.39, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 909"
"[16:10:14] 9.50, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 903"
"[16:10:14] 9.61, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 892"
"[16:10:14] 9.72, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 908"
"[16:10:14] 9.84, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 907"
"[16:10:14] 10.05, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 881"
"[16:10:15] 10.26, Force(N): 21.665, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 881"
"[16:10:15] 10.37, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 875"
"[16:10:15] 10.48, Force(N): 23.687, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 870"
"[16:10:15] 10.60, Force(N): 24.697, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 873"
"[16:10:15] 10.71, Force(N): 25.708, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 863"
"[16:10:15] 11.02, Force(N): 24.697, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 852"
"[16:10:15] 11.14, Force(N): 26.719, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 845"
"[16:10:16] 11.25, Force(N): 25.708, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 844"
"[16:10:16] 11.36, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 828"
"[16:10:16] 11.47, Force(N): 25.708, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 820"
"[16:10:16] 11.89, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 814"
"[16:10:16] 12.20, Force(N): 27.729, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 808"
"[16:10:17] 12.31, Force(N): 26.719, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 798"
"[16:10:17] 12.43, Force(N): 27.729, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 797"
"[16:10:17] 12.54, Force(N): 26.719, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 797"
"[16:10:17] 12.75, Force(N): 27.729, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 788"
"[16:10:17] 13.07, Force(N): 28.740, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 771"
