Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.35,21.665,1.011,1023,1023,1023
4.56,20.654,-1.011,1022,1023,1022
4.77,21.665,1.011,1023,1023,1023
4.99,22.676,1.011,1023,1023,1023
5.10,23.687,1.011,1023,1022,980
5.51,24.697,1.011,1023,1023,930
5.62,23.687,-1.011,1023,1023,947
6.04,24.697,1.011,1023,1023,927
6.15,23.687,-1.011,1023,1023,925
6.36,22.676,-1.011,1023,1022,932
7.08,21.665,-1.011,1023,1023,921
7.19,22.676,1.011,1023,1023,924
7.30,21.665,-1.011,1023,1023,944
7.42,22.676,1.011,1023,1023,940
7.63,23.687,1.011,1023,1023,914
7.74,24.697,1.011,1023,1023,921
8.26,25.708,1.011,1023,1023,882
8.37,26.719,1.011,1023,1023,882
8.48,25.708,-1.011,1023,1023,881
8.69,24.697,-1.011,1023,1022,885
8.80,25.708,1.011,1023,1023,883
8.91,24.697,-1.011,1022,1023,883
9.02,25.708,1.011,1023,1023,881
9.14,26.719,1.011,1023,1022,882
9.25,25.708,-1.011,1023,1023,882
9.36,26.719,1.011,1023,1022,878
10.18,25.708,-1.011,1023,1023,875
10.29,26.719,1.011,1023,1023,872
11.01,27.729,1.011,1023,1023,868
11.93,28.740,1.011,1023,1023,830
12.04,27.729,-1.011,1022,1023,828
12.26,28.740,1.011,1023,1023,823
12.67,29.751,1.011,1022,1023,817
12.78,27.729,-2.021,1023,1023,817
13.00,29.751,2.021,1023,1023,815
13.62,30.762,1.011,1023,1023,812
13.73,29.751,-1.011,1023,1023,811
13.84,28.740,-1.011,1023,1023,810
13.95,29.751,1.011,1023,1023,811
14.47,30.762,1.011,1023,1023,795
14.58,29.751,-1.011,1023,1023,793
14.69,30.762,1.011,1023,1023,788
14.91,29.751,-1.011,1022,1023,786
15.02,30.762,1.011,1022,1023,785
15.23,31.772,1.011,1022,1023,783
15.45,29.751,-2.021,1022,1023,783
15.56,31.772,2.021,1023,1023,783
15.67,30.762,-1.011,1023,1023,781
15.89,31.772,1.011,1023,1023,780
