timestamped_line
"[15:47:29] Ready. Type 's' to start logging, 'e' to stop."
[15:47:29] Sensor Info:
[15:47:29] Sensor ID: 50
[15:47:29] Sensor Name: FORCE PLATE 850
[15:47:29] Units: N
[15:47:29] ▶️ START LOGGING
"[15:47:29] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:47:29] 4.45, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 898"
"[15:47:30] 4.76, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 895"
"[15:47:30] 4.87, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 859"
"[15:47:30] 4.99, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 882"
"[15:47:30] 5.10, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 885"
"[15:47:30] 5.41, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 930"
"[15:47:30] 5.52, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 844"
"[15:47:31] 5.73, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 796"
"[15:47:31] 6.05, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 787"
"[15:47:31] 6.16, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 801"
"[15:47:31] 6.27, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 783"
"[15:47:31] 6.38, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 782"
"[15:47:32] 6.59, Force(N): 21.665, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 784"
"[15:47:32] 6.70, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1022, FSR2: 1021, FSR3: 773"
"[15:47:32] 6.82, Force(N): 23.687, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 771"
"[15:47:32] 6.93, Force(N): 22.676, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 769"
"[15:47:32] 7.34, Force(N): 21.665, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 781"
"[15:47:33] 7.55, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1023, FSR2: 1021, FSR3: 786"
"[15:47:33] 7.77, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 804"
"[15:47:33] 7.88, Force(N): 21.665, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 833"
"[15:47:33] 7.99, Force(N): 19.644, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 866"
"[15:47:33] 8.10, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:47:33] 8.21, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:47:34] 8.53, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:47:34] 8.64, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:47:34] 8.75, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:47:34] 8.86, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:47:34] 8.98, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:47:34] 9.09, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:47:34] 9.20, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 1023"
"[15:47:34] 9.42, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 904"
