Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.25,32.783,-1.011,1023,1023,1023
4.66,33.794,1.011,1023,1023,1023
4.77,32.783,-1.011,1023,1023,1023
5.19,31.772,-1.011,1023,1022,1021
5.40,32.783,1.011,1023,1023,1022
5.72,31.772,-1.011,1023,1023,1022
5.83,32.783,1.011,1022,1023,1023
5.94,33.794,1.011,1023,1023,1023
6.05,32.783,-1.011,1023,1023,1023
6.27,33.794,1.011,1023,1022,1023
6.38,32.783,-1.011,1023,1022,1023
6.70,33.794,1.011,1023,1023,1022
6.81,31.772,-2.021,1023,1023,1023
6.92,32.783,1.011,1022,1023,1023
7.13,33.794,1.011,1023,1023,1022
7.25,32.783,-1.011,1023,1023,1023
7.36,31.772,-1.011,1023,1023,1022
7.47,32.783,1.011,1023,1023,1022
7.69,31.772,-1.011,1023,1023,1023
7.80,32.783,1.011,1023,1023,1023
8.01,31.772,-1.011,1023,1023,1023
8.43,32.783,1.011,1023,1022,1023
8.54,31.772,-1.011,1022,1023,1023
8.75,32.783,1.011,1023,1022,1023
8.97,31.772,-1.011,1023,1023,1023
9.38,32.783,1.011,1023,1023,1022
9.90,31.772,-1.011,1022,1023,1022
10.11,32.783,1.011,1023,1023,1023
10.43,31.772,-1.011,1023,1023,1023
10.54,32.783,1.011,1023,1023,1023
10.65,31.772,-1.011,1023,1022,1023
10.87,33.794,2.021,1023,1023,1023
10.98,32.783,-1.011,1023,1023,1023
11.20,33.794,1.011,1022,1023,1023
11.31,32.783,-1.011,1023,1023,1023
11.43,33.794,1.011,1023,1023,1023
11.54,32.783,-1.011,1023,1023,1023
11.85,33.794,1.011,1023,1023,1023
11.97,32.783,-1.011,1023,1023,1023
12.08,31.772,-1.011,1023,1023,1023
12.30,32.783,1.011,1022,1021,1023
12.71,31.772,-1.011,1023,1022,1023
12.93,32.783,1.011,1023,1022,1023
14.26,33.794,1.011,1023,93,1023
14.37,31.772,-2.021,1022,87,1023
14.48,32.783,1.011,1023,89,1022
15.60,33.794,1.011,1023,831,1023
15.71,32.783,-1.011,1023,1023,1023
15.83,33.794,1.011,1023,1023,1023
15.94,32.783,-1.011,1022,1023,1023
16.15,31.772,-1.011,1023,1022,1022
16.27,33.794,2.021,1023,1023,1023
16.38,32.783,-1.011,1023,1023,1023
16.90,31.772,-1.011,1023,1023,1023
17.01,32.783,1.011,1023,1023,1023
17.13,33.794,1.011,1023,1023,1023
17.24,31.772,-2.021,1023,1023,1023
17.35,32.783,1.011,1023,1023,1023
17.57,33.794,1.011,1023,1023,1023
17.68,32.783,-1.011,1023,1023,1023
17.80,31.772,-1.011,1023,1023,1023
17.91,32.783,1.011,1023,1022,1023
18.02,31.772,-1.011,1023,1023,1023
18.14,32.783,1.011,1023,1023,1023
18.25,31.772,-1.011,1023,1023,1023
18.36,32.783,1.011,1023,1023,1023
18.48,31.772,-1.011,1023,1023,1023
18.59,32.783,1.011,1023,1023,1022
18.70,33.794,1.011,1023,1023,1023
18.82,32.783,-1.011,1023,1023,1023
19.23,31.772,-1.011,1023,1023,1023
19.35,32.783,1.011,1023,1023,1023
19.56,31.772,-1.011,1023,1023,1023
19.67,32.783,1.011,1023,1023,1023
19.89,31.772,-1.011,1023,1023,1022
